# key	english
Dialogues/prepChickenHouseRepaired	<voice type=thanks>\nNow! The times of being cramped in tight space are gone! Cackle away!
Dialogues/prepNotEnoughFood	<voice type=disappointment>\nThey still need a bit more...
Dialogues/prepMaze1	<voice type=question>\nWhy did Will want to hide this place from me? It's just a big field.\nBut I must say it looks like a perfect place to collect some <color=yellow>wheat</color> for chickens.
Dialogues/prepMaze2	It's like a maze here. \n<voice type=question>\nWhich way do I go?
Dialogues/prepFootPrints	<voice type=acceptance>\nThese are foot steps of a dog! Good.
Dialogues/prepScarecrowMaze1	<voice type=question>\nUhm. Hello?
Dialogues/prepScarecrowSign1	<voice type=order>\n'Turn around, it's not safe in here!'\n<voice type=disappointment>\nThanks for the warning, I guess?
Dialogues/prepCollarMaze	<voice type=upset>\nThe dog's collar! I hope he's okay.
Dialogues/prepLake1	<voice type=question>\nOh, a lake? Murricaville County never ceases to amaze me.
Dialogues/prepLake2	<voice type=thanks>\nAnd here's the dog!
Dialogues/prepWillDog1	<voice type=negation>\nHe won't let me get closer. \n<voice type=negation>\nAnd I don't want to fight him for those shears.
Dialogues/prepWillDog2	<voice type=question>\nIs it Will's dog? \n<voice type=question>\nIt must be, right?
Dialogues/prepWillDog3	<voice type=order>\nLet's ask him.
Dialogues/prepFarmDog1	<voice type=greeting>\nHey, Will! So... I've found the shears.
Dialogues/willFarmDog2	<voice type=question>\nGood! Have you shaven the goats already?
Dialogues/prepFarmDog3	<voice type=negation>\nNot yet. A dog has stolen the shears.\n<voice type=question>\nCould it be that this is your dog?
Dialogues/willFarmDog4	<voice type=negation>\nDog? I don't have a dog.
Dialogues/prepFarmDog5	<voice type=question>\nAre you sure? \nIt's kind of white and gold, fluffy, with a pirate eyepatch. Gives a rather rogue-ish impression.
Dialogues/willFarmDog6	<voice type=acceptance>\nAh, him, Xeno! Yes, he's a good friend of mine.
Dialogues/prepFarmDog7	<voice type=disappointment>\nGreat. So your friend is keeping our shears captive.
Dialogues/willFarmDog8	Oh, just give him some rat meat. \n<voice type=laugh>\nHe loves that stuff.
Dialogues/prepFarmDog9	<voice type=acceptance>\nUhm, right. Rat meat.\n<voice type=acceptance>\nAn absolutely normal thing for a dog to eat. I'll remember.\nNow, one more thing...
Dialogues/prepLakeCameras1	I've noticed some cameras all around the lake.\n
Dialogues/willLakeCameras2	<voice type=anger>\nWhat? You've been at the lake? I told you not to go there!
Dialogues/prepLakeCameras3	<voice type=order>\nWell, I got there chasing the dog. And the shears, remember.
Dialogues/willLakeCameras4	<voice type=anger>\nAh, this damn lake is full of government's cameras.\n<voice type=anger>\nI don't know what are they doing there and why.\n<voice type=upset>\nBut I don't really want to know.\n<voice type=order>\nIf I were you, I'd also stay out of there.
Dialogues/willFarmDogIncomplite1	<voice type=question>\nSo did Xeno like his rat meat?
Dialogues/prepFarmDogIncomplite2	<voice type=negation>\nWeirdly, I haven't seen many rats around lately. I'll keep looking.
Dialogues/prepNeedRatMeat	<voice type=negation>\nI need rat meat.
Dialogues/prepRatMeat0	<voice type=greeting>\nShhh... Easy, easy.
Dialogues/prepRatMeat1	<voice type=acceptance>\nHere you go, buddy.
Dialogues/prepRatMeat2	<voice type=question>\nDo you like that, Xeno?
Dialogues/prepRatMeat3	<voice type=order>\nGood.
Dialogues/prepRatMeat4	<voice type=thanks>\nHere, don't lose it again, buddy.
Dialogues/prepRatMeat5	<voice type=acceptance>\nNow, if you don't mind... I'll take back these shears. Other animals need it more than you!
Dialogues/prepScizzorsGrabed1	<voice type=acceptance>\nPhew, it worked.
Dialogues/prepScizzorsGrabed2	<voice type=thanks>\nNow I can shear the goats! Can't wait.
Dialogues/prepGoatsShave1	<voice type=order>\nAaand... There you are.\n<voice type=order>\nLooking fresh, stylish, in shape.
Dialogues/prepGoatsShave2	<voice type=order>\nI'm sure you'll be feeling better now.
Dialogues/prepGoatsShave3	<voice type=thanks>\nFinally, milk! Surely that was quite a bit harder than I expected.
Dialogues/prepGoatInspectChill	<voice type=laugh>\nNow looking properly chilled, just doing goat business. Ready to mayhem, but consciously choosing not to.
Dialogues/prepTurnAroundLake1	<voice type=order>\n"Turn around! They're watching!"
Dialogues/prepTurnAroundLake2	<voice type=question>\nUhm, who's watching exactly?
Dialogues/prepCamera1	<voice type=question>\nWhat's this?
Dialogues/prepCamera2	<voice type=order>\nA camera? Hm... I think it has a government sign on it.
Dialogues/prepFarmInvitation	<voice type=disappointment>\nOh no, what nonsense is this? A farm? Do I really look like a farmer?\nI hope I'll manage to get something for myself from this.
Dialogues/willFarmReward1	<voice type=question>\nMr. Prepper?
Dialogues/prepFarmReward2	<voice type=question>\nYes?
Dialogues/willFarmReward3	I've come to the conclusion you were quite useful around here.\nSorry for not giving you the warmest of welcomes. I've grown suspicious over the years.
Dialogues/prepFarmReward4	<voice type=acceptance>\nNo offence taken.
Dialogues/willFarmReward5	<voice type=order>\nGood. Here you are, take these chickens.
Dialogues/willFarmReward6	You can eat them or keep them for eggs. Your choice.
Dialogues/willFarmReward7	<voice type=acceptance>\nAnd in case that you want to keep them: here are some useful blueprints about animal husbandry. Good luck!
Dialogues/prepFarmReward8	<voice type=thanks>\nThanks! I've been thinking of establishing my small animal farm for some time now.
Dialogues/willMilkAndEggs1	<voice type=question>\nHey Prepper, how did it go?
Dialogues/prepMilkAndEggs2	<voice type=thanks>\nI got the shears! And the dog is unharmed.
Dialogues/willMilkAndEggs3	<voice type=order>\nGood. \nSo let's see how has your work paid off. \n<voice type=question>\nCan you bring me some milk and eggs from my animals?
Dialogues/prepMilkAndEggs4	<voice type=order>\nI hope so.
Dialogues/willMilkAndEggsIncomplite1	<voice type=question>\nDid you get milk and eggs?
Dialogues/prepMilkAndEggsIncomplite2	<voice type=negation>\nWorking on it.
Dialogues/prepMilkAndEggsFinished1	<voice type=order>\nHere's some milk and eggs
Dialogues/willMilkAndEggsFinished2	<voice type=thanks>\nNow would you look at that.\n<voice type=question>\nIs this really from my animals?
Dialogues/prepMilkAndEggsFinished3	Yes. All fresh and from our own farm. Well, state-owned farm. But you know what I mean.
Dialogues/willMilkAndEggsFinished4	<voice type=thanks>\nGreat, thank you for all the help!\nI think that I may get through another inspection now.
Dialogues/willMilkAndEggsFinished5	From now I will pay you for all eggs and milks you bring.\nIt's now your job after all, and I don't think agency is planning to pay you.
Dialogues/willMilkAndEggsFinished6	And here, take this, those are some basic recipes from eggs and milk...
Dialogues/henMilkAndEggsFinished7	Cluck!
Dialogues/willMilkAndEggsFinished8	<voice type=thanks>\n...yes, and from fish, thank you, Henry.
Dialogues/prepMilkAndEggsFinished9	<voice type=thanks>\nThank you!
Dialogues/willMilkAndEggsFinished10	There is still a lot to do. Please come back tomorrow, it's enough work for today.
Dialogues/willWaitIncomplite1	<voice type=negation>\nThere is nothing else to do today.\n<voice type=order>\nCome back tomorrow.
Dialogues/prepWaitIncomplite2	<voice type=thanks>\nWe're on top of this thing! Who would've thought.
Dialogues/prepMilkAndEggsWrongTIme1	I have some milk and eggs...
Dialogues/willMilkAndEggsWrongTIme2	<voice type=anger>\nNot now, Mr. Prepper! There are more important matters at the moment.
Dialogues/prepWheresWill	<voice type=question>\nWhere is Will?
Dialogues/willAnimalsKidnaped1	<voice type=fear>\nMr. Prepper! Something terrible happened!
Dialogues/prepAnimalsKidnaped2	<voice type=question>\nWhat? Did the goats destroy something again?
Dialogues/willAnimalsKidnaped3	<voice type=fear>\nNo! Much worse! They're gone!\n<voice type=upset>\nA goat and two chickens.
Dialogues/prepAnimalsKidnaped4	<voice type=upset>\nOh...
Dialogues/willAnimalsKidnaped5	<voice type=disappointment>\nI haven't told you before, but it's not the first time it happens.
Dialogues/willAnimalsKidnaped6	<voice type=anger>\nIt happens regularly! That's one of the reasons I have such low efficiency.\n<voice type=anger>\nThe Agency will give me a hard time again!
Dialogues/prepAnimalsKidnaped7	Let me take a look around, okay? Maybe I can figure out what happened.
Dialogues/willPlayerHasNoFish	You need to bring me a new fish to gain rewards!
Dialogues/willAnimalsKidnapedIncomplite1	<voice type=upset>\nSo, do you know what happened to them?
Dialogues/prepAnimalsKidnapedIncomplite2	<voice type=negation>\nNot yet, sorry.
Dialogues/prepTrapsBarnDoor	<voice type=negation>\nOpen. Not good, Will should close this door every night.\n<voice type=question>\nMaybe he forgot? \n<voice type=disappointment>\nHe seems to forget many things...\n<voice type=question>\nBut then again, who in this town doesn't?
Dialogues/prepTrapsHoles	<voice type=question>\nThere is a hole in a barn wall... Looks like it was made from the inside.\n<voice type=order>\nMost likely one of the goats has done it. \nIt's too small to be made by a wolf... but perhaps a fox could sneak through here.
Dialogues/prepTrapsFootPrintsWolf1	There are some animal footprints on the ground.
Dialogues/prepTrapsFootPrintsWolf2	<voice type=order>\nHmm. Not my area of expertise, but these look like wolf's footprints to me. 
Dialogues/prepTrapsFootPrintsHuman1	<voice type=question>\nOkay, those are definitely human's...
Dialogues/prepTrapsFootPrintsHuman2	<voice type=question>\nNot my shoe size. Could it be Will's though?
Dialogues/prepFarmTraps1	<voice type=order>\nSo it seems that some wild animal is behind this.
Dialogues/prepFarmTraps2	<voice type=acceptance>\nLet's set up traps in this area then and find out the culprit!
Dialogues/prepFarmTrapsSet1	<voice type=order>\nDone. I should come back tomorrow and check up on those.
Dialogues/prepFarmTrapsFirstCatch1	<voice type=acceptance>\nA wolf got caught in this!
Dialogues/prepFarmTrapsFirstCatch2	Another wolf. Nothing out of ordinary.
Dialogues/prepFarmTrapsFirstCatch3	<voice type=question>\nHmm...
Dialogues/prepFarmTrapsFirstCatch4	<voice type=question>\nNow what's that?
Dialogues/prepFarmTrapsFirstCatch5	<voice type=question>\nIs this a...
Dialogues/prepFarmTrapsFirstCatch6	<voice type=acceptance>\nAh, no, it's just a fox tail.
Dialogues/prepFarmTrapsFirstCatch7	Okay, looks like I was right, nothing suspicious here.
Dialogues/prepFarmTrapsFirstCatch8	I'll better keep these traps up at all times.\n<voice type=order>\nI don't want any more cases of lost animals here.
Dialogues/willTrapsTalk1	<voice type=question>\nSo? What was it?
Dialogues/prepTrapsTalk2	Just some wild animals. \nIt's fine, Will. I will set up some traps and we should be done with the problem.\n<voice type=disappointment>\nJust mind your step, I don't want to find you caught in one of the traps.
Dialogues/willTrapsTalk3	<voice type=anger>\nOh who do you think I am! I'll be careful, sure.
Dialogues/willTrapsIncomplite1	<voice type=question>\nDid you set up those traps?
Dialogues/prepTrapsIncomplite2	<voice type=negation>\nNot yet, sorry.
Dialogues/prepTrapsComplite2	<voice type=acceptance>\nYes, now we just have to wait.
Dialogues/willTrapsComplite3	<voice type=disappointment>\nHope you are right about those wild animals, Mr. Prepper.
Dialogues/willMazeRun1	<voice type=question>\nSo how are these traps of yours working?
Dialogues/prepMazeRun2	<voice type=acceptance>\nGood. I've caught some wolves and a fox so far.
Dialogues/willMazeRun3	<voice type=order>\nGreat! I hope it's enough to stop those pesky predators.\n<voice type=thanks>\nThere is something I would like to show you.
Dialogues/willMazeRun4	<voice type=disappointment>\nRemember the lake? The one that you were not supposed to see, but you did, being nosy as usual.
Dialogues/prepMazeRun5	<voice type=question>\nRight. What about the lake?
Dialogues/willMazeRun6	Next to it, you will find an entrance to the wheat maze.\n<voice type=laugh>\nIt's my little project. Designed as a kids' attraction. But maybe you'll like it too? \n<voice type=order>\nGive it a try and tell me what you think!
Dialogues/prepMazeRun7	<voice type=disappointment>\nA maze. Sure, obviously.
Dialogues/willMazeRun8	Once you enter the maze you have to beat it in one go.\nI mean you can leave whenever you want, but if you do you will miss out on some rewards.
Dialogues/prepMazeRun9	I will keep it in mind, I guess.
Dialogues/willMazeRunIncomplite1	<voice type=question>\nHave you checked out my crop maze?
Dialogues/prepMazeRunIncomplite2	<voice type=negation>\nNo, not yet.
Dialogues/prepFishingRodInspect	<voice type=question>\nAn old fishing rod. Maybe I could use it somehow? I'll ask Will.
Dialogues/prepFishingRod1	<voice type=question>\nWill?
Dialogues/willFishingRod2	<voice type=question>\nYes?
Dialogues/prepFishingRod3	I've noticed this old fishing rod.
Dialogues/willFishingRod4	<voice type=question>\nYes, what about it?
Dialogues/prepFishingRod5	Well, there is a lake nearby. The one I wasn't supposed to see, but I'm nosy, as we established.
Dialogues/willFishingRod6	<voice type=disappointment>\nGo on.
Dialogues/prepFishingRod7	<voice type=question>\nCan I borrow the rod?
Dialogues/willFishingRod8	<voice type=anger>\nThe lake is surrounded with government cameras, you remember?
Dialogues/prepFishingRod9	<voice type=question>\nYes, and?
Dialogues/willFishingRod10	<voice type=disappointment>\n...
Dialogues/prepFishingRod11	...
Dialogues/willFishingRod12	<voice type=disappointment>\nYou're unbelievable, Mr. Prepper. Sure, take it.
Dialogues/willFishingRod13	Here, I have a few spare fishing baits.You will need them.
Dialogues/prepFishingRod14	<voice type=thanks>\nThanks!
Dialogues/willFishingRod15	And if you want to bother someone about fishing, bother Henry.\nHe is a specialist in that field.
Dialogues/henFishingRod16	Cluck! Cluck!
Dialogues/prepFishingRod17	...
Dialogues/willAfterMaze1	<voice type=question>\nHave you visited the maze?
Dialogues/prepAfterMaze2	<voice type=acceptance>\nActually, yes.
Dialogues/willAfterMaze3	<voice type=question>\nHow did you like it?
Dialogues/prepAfterMaze4	<voice type=question>\nYou said it is a kids' attraction?
Dialogues/willAfterMaze5	<voice type=laugh>\nYes! It's a bit unconventional, I know, but I'm sure they'll love it.
Dialogues/prepAfterMaze6	<voice type=negation>\nI don't know. But I almost died there.
Dialogues/willAfterMaze7	<voice type=question>\nOh. But did you like it?
Dialogues/prepAfterMaze8	<voice type=disappointment>\nUhm...\n<voice type=acceptance>\nYeah, kind of.
Dialogues/prepAfterMaze9	<voice type=disappointment>\n<I>I'm glad the Agency gave him a farm to supervise and not a kindergarten.</I>
Dialogues/willProtectFarmIncomplite1	<voice type=question>\nHow is it going with the traps? Everything fine?
Dialogues/prepProtectFarmIncomplite2	Nothing new, just wolves and foxes from time to time.
Dialogues/willAnimalsMissingSecond1	<voice type=fear>\nMr. Prepper! A tragedy! It happened again!\n<voice type=fear>\nThe animals are missing! Please help me!
Dialogues/prepAnimalsMissingSecond2	<voice type=disappointment>\nAh, damn, I thought it was over. Don't worry too much, Will, I'll do my best to find them.
Dialogues/prepAnimalsMissingSecond3	<voice type=order>\nI'll start with checking the traps.
Dialogues/willAnimalsMissingSecondIncomplite1	<voice type=fear>\nWhat happened this time?
Dialogues/prepAnimalsMissingSecondIncomplite2	<voice type=negation>\nDon't know yet, will investigate.
Dialogues/prepAgentMaterial1	Hey, Will. I found this in one of the traps.
Dialogues/prepAgentMaterial2	<voice type=question>\nAny idea how it could get there?
Dialogues/willAgentMaterial3	<voice type=negation>\nNo... but it looks like... A fabric. A shred of a piece of clothing?
Dialogues/prepAgentMaterial4	That's what I was thinking too. I'll ask around.
Dialogues/willRand1	<voice type=anger>\nI don't know why Agency chose me to supervise the farm. I knew a thing or two about fishing, but I'd never been a farmer.
Dialogues/willRand2	I once found a book. Judging by the title, it could have been a handbook of animal husbandry.\n<voice type=disappointment>\nBut no, it was some kind of a weird parable. Or, well, perhaps I just hadn't understood it.
Dialogues/willRand3	<voice type=thanks>\nI used to subscribe some good magazines. American Angler, Angler's World, Super Carp... \n<voice type=anger>\nNow only Our Truth appears in the mail. Bless the President.
Dialogues/willRand4	<voice type=order>\nMany mornings I say to myself: today I will put this farm back on its feet!\n<voice type=disappointment>\nBut it's just... too exhausting. And the Agency is not helping much.
Dialogues/willRand5	<voice type=laugh>\nI used to be a bit of an explorer like you, but then a goat bit my knee. 
Dialogues/willFindAnimals1	<voice type=upset>\nMr. Prepper...
Dialogues/willFindAnimals2	<voice type=upset>\nIt may sound crazy, but...\nIf the traps are working correctly, it means that something or someone else than wild animals is behind this.\n<voice type=question>\nWhat if my animals are still alive and we can find them?
Dialogues/prepFindAnimals3	Well... we can't rule it out, I guess.
Dialogues/chupaFindAnimals4	Woof!
Dialogues/prepFindAnimals5	<voice type=acceptance>\nI may have an idea.
Dialogues/prepFindAnimals6	These ID bands... All our animals have them. \nAnd if I'm correct, these may be tracking devices of some sort.
Dialogues/prepFindAnimals7a	And the only person who might know how to track them is Murricaville's technology expert, Joe.
Dialogues/prepFindAnimals7b	<voice type=negation>\nI don't know how to track them, though. I need to find someone who knows a thing or two about such devices.
Dialogues/prepAgentLegFound1	<voice type=question>\nNow this is odd...
Dialogues/prepAgentLegFound2	<voice type=order>\nSome black fabric.
Dialogues/prepAgentLegFound3	<voice type=question>\nIs this...?
Dialogues/prepAgentLegFound4	<voice type=upset>\nYup, definitely there's some <color=red>blood</color> on it.
Dialogues/prepAgentLegFound5	Where could it come from? Maybe Will has an idea.
Dialogues/prepAnimalsBand1	Joe, I have a question for you.
Dialogues/joeAnimalsBand2	<voice type=order>\nShoot!
Dialogues/prepAnimalsBand3	Let's say I have a device that is used to track certain creatures.
Dialogues/joeAnimalsBand4	<voice type=surprise>\nWhat kind of cryptid are we talking about? The Bigfoot? The Mothman? The Jersey Devil?
Dialogues/prepAnimalsBand5	Any creature. Take a look at this.
Dialogues/joeAnimalsBand6	Mhm... yes...
Dialogues/joeAnimalsBand7	<voice type=acceptance>\nGovernment work, one hundred percent.
Dialogues/prepAnimalsBand8	<voice type=question>\nDo you know how can I track these?
Dialogues/joeAnimalsBand9	Won't be very easy...\n<voice type=acceptance>\nBut I may have an idea.
Dialogues/joeAnimalsBand10	Come back tomorrow, I'll come up with something.
Dialogues/prepAnimalsBand11	<voice type=thanks>\nOkay, Joe. I'm counting on you!
Dialogues/joeTrackingDevice1	<voice type=laugh>\nAnd voila! State-of-the-art, homemade, copyleft, universal ID-band finder! \nYou'll track them all down in no time!
Dialogues/prepTrackingDevice2	<voice type=thanks>\nThanks, man! I owe you.
Dialogues/prepAskJoeMaterial1	<voice type=question>\nYou're the specialist on stuff that can be found around here, do you recognize this?
Dialogues/joeAskJoeMaterial2	<voice type=negation>\nNo. Doesn't ring a bell.
Dialogues/prepAskJoeMaterial3	<voice type=order>\nOK, thanks.
Dialogues/prepAskBobMaterial1	<voice type=question>\nDo you recognize this piece of fabric?
Dialogues/bobAskBobMaterial2	<voice type=negation>\nDo I look like a tailor? I might have a lot of books, but you seem to overestimate my knowledge.
Dialogues/prepAskBobMaterial3	<voice type=order>\nThanks.
Dialogues/prepAskHerbMaterial1	<voice type=question>\nDo you recognize this?
Dialogues/herbAskHerbMaterial2	<voice type=disappointment>\nNo, it looks like an awful material, I wouldn't use it for anything.
Dialogues/prepAskHerbMaterial3	Thanks.
Dialogues/prepAskPostMaterial1	<voice type=question>\nDo you recognize this?
Dialogues/postAskPostMaterial2	<voice type=negation>\nNo, no idea. Does it come from a piece of clothing? I don't think it's of anyone I deliver post to.
Dialogues/prepAskPostMaterial3	<voice type=thanks>\nThis might be it, thanks!
Dialogues/prepAskNeighMaterial1	<voice type=question>\nDo you recognize this?
Dialogues/neighAskNeighMaterial2	<voice type=acceptance>\nMmm... Oh yes! I think the Agents' suits are made of such fabric! They always look so smart and sleek.
