# key	english	bulgarian	french	russian
Letter/minutLetter3	How are you? I have recently taken interest in a certain fascinating topic that can also become timely. However, due to regulations of our wise government – bless the President – obtaining reliable sources on this topic is challenging.\nBut Mr. Prepper, you might have more luck! Please deliver me a good book about nuclear warfare and its consequences. Something non-fiction. I am sure I can make up for all the trouble!\nI am not sure where to obtain unusual books these days, given the Agency's pressure. I think the whole book business must have gone underground.	Как си? Наскоро се заинтересувах от една определена завладяваща тема, която може да стане и актуална. Но заради регулациите на нашето мъдро правителство – да благословим президента – намирането на надеждни източници по тази тема е предизвикателство.\nНо, господин Препър, ти може би ще имаш повече късмет! Моля те, донеси ми добра книга за ядрената война и нейните последици. Нещо нехудожествено. Сигурен съм, че мога да компенсирам всички неудобства!\nНе съм сигурен откъде да си набавям необичайни книги тези дни, предвид натиска на Агенцията. Мисля, че целият кни	Comment allez-vous? Je me suis récemment intéressé à un sujet fascinant qui pourrait malheureusement devenir d'actualité. Cependant, en raison des réglementations de notre sage gouvernement - gloire au Président - il m'est difficile d'obtenir des sources fiables sur le sujet.\nMais Mr. Prepper, vous aurez peut-être plus de chance que moi! S'il vous plaît, envoyez-moi un bon livre à propos de la guerre nucléaire et de ses conséquences. Quelque chose de non fictionnel. Je suis sûr que je pourrai vous dédommager pour le dérangement!\nJe ne sais pas où trouver des livres insolites ces jours-ci, étant donné la pression de l'Agence. Je pense que tout le business du livre a dû devenir clandestin.	Как ваши дела? Недавно я обратил свой взор на одну интересную тему, которая в скором времени может стать актуальной. Однако из-за постановлений нашего правительства – Боже, храни Президента – получить достоверные сведения весьма затруднительно.\nНо, мистер Выживальщик, вам может повезти больше, чем мне! Мне очень нужна хорошая книга о ядерной войне и ее последствиях. Научно-популярная. Я уверен, что смогу отплатить вам за услугу.\nНе уверен, где достать необычные книги во времена гнета Агентства. Думаю, книжное дело ушло в подполье.
Letter/minutLetter4	Thank you very much for the book, it was very informative indeed! Now I have a follow-up request: could you bring me a Geiger counter? I am not saying I need to use it right now… but still I would like to learn how to use it, and rather sooner than later. \nThe Geiger counter is already quite an old technology; maybe you'll find one where other old things are?\nI will be grateful!	Благодаря много за книгата, беше много информативна! Сега имам едно запитване: можеш ли да ми донесеш един Гайгер брояч? Не казвам, че ми трябва веднага... но все пак бих искал да науча как се използва и по-скоро по-рано, отколкото по-късно. \nГайгер броячът е вече доста стара технология; може би ще намериш един там, където има и други стари неща?\nЩе съм ти много благодарен!	Merci beaucoup pour le livre, c'était très informatif en effet! J'ai maintenant la requête suivante: pourriez-vous m'apporter un compteur Geiger? Je ne dis pas que j'ai besoin de l'utiliser tout de suite... Mais je voudrais quand même apprendre à m'en servir, et le plus tôt sera le mieux.\nLe compteur Geiger est plutôt une technologie ancienne; peut-être en trouverez-vous un là où il y a d'autres vieilles choses?\nJe vous en serai reconnaissant!	Большое спасибо за ценное чтиво, весьма познавательно! У меня есть еще просьба: не могли бы вы найти счетчик Гейгера? Не то чтобы он нужен мне прямо сейчас... но все же мне бы хотелось научиться им пользоваться, и чем раньше, тем лучше. \nСчетчик Гейгера считается устаревшей технологией; возможно, вы найдете его среди старья?\nБуду весьма признателен!
Letter/minutLetter5	Thank you very much for the Geiger counter! Now I feel much more… prepared. \nRemember my first gift for you? Have you already started constructing your vehicle? I'm sure you'll handle most of it easily, but keep in mind that such technology requires impeccable quality of elements, hard to achieve in our do-it-yourself conditions.\nBut fear not! I happen to know about a device which will help you greatly: an AI-based, highly adaptable rocket control module, together with a top-notch accelerometer.\nI know you can find the control module in Fort Observer, an abandoned military base not far from Murricaville. They used to work on sending things to space there, among other research. I cannot point you to a specific location, unfortunately. But I'm sure you'll find a way, Mr. Prepper!\n\n	Много благодаря за брояча на Гейгер! Сега се чувствам много по-… подготвен. \nПомниш ли първия ми подарък за теб? Вече започна ли да строиш превозното си средство? Сигурен съм, че ще се справиш лесно с повечето неща, но имай предвид, че такава технология изисква безупречно качество на елементите, трудно постижимо в нашите условия на "направи си сам".\nНо не се бой! Случайно знам за устройство, което ще ти помогне много: AI-базиран, силно адаптивен ракетен контролен модул, заедно с първокласен акселерометър.\nЗнам, че можеш да намериш контролния модул във Форт Обзървър, изоставена военна база не далеч от Мюрикавил. Там са работили по изпращането на неща в космоса, наред с други изследвания. За съжаление, не мога да ти посоча конкретно място. Но съм сигурен, че ще намериш начин, господин Препър!\n\n	Merci beaucoup pour le compteur Geiger! Maintenant je me sens bien mieux.... préparé.\nVous vous souvenez de mon premier cadeau? Avez-vous déjà commencé à construire votre véhicule? Je suis sûr que vous y parviendrez facilement, mais n'oubliez pas qu'une telle technologie a besoin de composants de très grande qualité et qu'il sera dur, dans votre atelier fait maison, d'y arriver.\nMais n'ayez crainte! Il se trouve que je connais un appareil qui vous aidera grandement: un module IA de commande de fusée hautement adaptable, ainsi qu'un accéléromètre d'excellente qualité.\nJe sais que vous pouvez trouver le module de contrôle dans Fort Observer, une base militaire abandonnée non loin de Murricaville. Ils travaillaient à envoyer des choses dans l'espace là-bas, parmis d'autres recherches. Je ne peux malheureusement pas vous indiquer un endroit précis. Mais je suis sûr que vous trouverez un moyen, Mr. Prepper!	Спасибо за счетчик Гейгера! Теперь у меня больше шансов... выжить.\nПомните мой первый подарок? Уже начали мастерить средство передвижения? Не сомневаюсь, задача вам по плечу, но детали должны быть идеальны, а найти такие непросто, когда все приходится собирать самому. Рано отчаиваться! Я знаю, где добыть очень полезную вещь – универсальный ИИ-модуль управления ракетой. Он на заброшенной базе «Наблюдатель» неподалеку от Мерикосвиля. Когда-то там отправляли в космос грузы. Увы, не могу назвать точное местоположение, но вы справитесь, мистер Выживальщик!
Letter/minutLetter6	I'm afraid we are both in trouble. Despite my precautions, there is a certain Agent who has taken interest in me and my recent... investigations. If he keeps snooping around, he might also get to you eventually.\nBut here's how you can help: you could put the Agent in trouble so he gets off our backs. This Agent lives nearby under the name of James FitzPatrick. \nPlant him an illegal item and I'll denounce him to the Agency.\nIt would be best if it was not simply illegal, but... illegal with a flair. To truly impress other Agents.\nI have a feeling the postman would be willing to help with this. He's also not a fan of the Agency. \nRemember, Mr. Prepper, it's for our safety! Our ambitions are too grand to be thwarted by some petty agents!\n	Страхувам се, че и двамата сме в беда. Въпреки моите предпазни мерки, има определен агент, който проявява интерес към мен и моите последни... разследвания. Ако продължи да се навърта наоколо, може да стигне и до теб в крайна сметка.\nНо ето как можеш да помогнеш: можеш да вкараш агента в беда, за да се махне от гърба ни. Този агент живее наблизо под името Джеймс Фицпатрик. \nЗасади му незаконен предмет и ще го докладвам на Агенцията.\nБи било най-добре, ако не беше просто незаконно, но... незаконно с финес. За да впечатлиш наистина другите агенти.\nИмам чувството, че пощальонът би се съгласил да помогне с това. Той също не е фен на Агенцията. \nПомни, господин Препър, това е за нашата безопасност! Нашите амбиции са твърде големи, за да бъдат спрени от някакви дребни агенти!\n	J'ai peur que nous ayons tous les deux des problèmes. Malgré mes précautions, il y a un Agent qui s'intéresse à moi et à mes récentes... recherches. S'il continue à fouiner, il pourrait aussi finir par vous trouver.\nMais voici comment vous pouvez nous aider: vous pourriez mettre l'agent en difficulté pour qu'il nous lâche. Cet agent habite à proximité sous le nom de James Fitzpatrick.\nCachez chez lui un objet illégal et je le dénoncerai à l'Agence.\nÇa serait mieux si ce n'était pas simplement illégal, mais... illégal avec un certain panache. Pour vraiment impressionner les autres Agents.\nJ'ai le sentiment que le facteur serait d'accord pour nous aider avec ça. Il n'est pas non plus fan de l'Agence.\nN'oubliez pas, Mr. Prepper, c'est pour notre sécurité! Nos ambitions sont trop grandes pour être contrecarrées par un simple Agent!	Боюсь, у нас проблемы. Несмотря на предосторожности, один агент заинтересовался моими... расследованиями. Он может добраться и до вас. Если создать ему неприятности, он отстанет. Его зовут Джеймс Фитцпатрик, он живет неподалеку. \nПодбросьте ему что-нибудь незаконное, а я донесу на него в Агентство. Лучше не просто незаконное, а... незаконное с изюминкой, чтобы по-настоящему впечатлить других агентов. Мне кажется, почтальон готов нам помочь. Он тоже не в восторге от Агентства. \nПомните, мистер Выживальщик, это все ради безопасности! Мелкие агентишки не должны мешать великой цели!
Letter/minutLetterWaterControl	Just a quick note: my source in the Agency tells me that the water usage will be added to the things checked during an inspection. Excessive use may be noticed. Please pay attention!	Просто кратко напомняне: източникът ми в агенцията ми каза, че използването на вода ще бъде добавено към нещата, които се проверяват по време на инспекция. Прекомерната употреба може да бъде забелязана. Моля, обърни внимание!	Une petite note: ma source à l'Agence me dit que la consommation d'eau sera ajoutée aux choses vérifiées lors d'une inspection. Une utilisation excessive peut être remarquée. Faites attention s'il vous plaît!	Просто краткое примечание: мой источник в Агентстве говорит, что во время инспекций начнут проверять потребление воды. Если тратить слишком много воды, это могут заметить. Имейте в виду!
Letter/minutLetterElectricityControl	Heads up: as our great country has some problems with electricity supply, the Agency plans to start controlling domestic electricity usage. Keep in mind that high consumption may look suspicious. Take care!	Внимавай: тъй като нашата велика страна има проблеми с електрозахранването, Агенцията планира да започне да контролира домашната употреба на електричество. Имай предвид, че високото потребление може да изглежда подозрително. Внимавай!	Attention: notre grand pays ayant des problèmes d'électricité, l'Agence prévoit de commencer à contrôler la consommation domestique d'électricité. Gardez à l'esprit qu'une consommation élevée peut sembler suspecte. Faites attention!	Предупреждение: наша великая родина вырабатывает слишком мало электричества, так что Агентство начнет контролировать его потребление у населения. Имейте в виду, слишком активное использование электричества может показаться им подозрительным. Берегите себя!
Letter/minutLetterCupboardControl	A quick friendly warning: the Agency wants to ramp up the intensity of inspections. Be ready that they might want to look into your cupboards and prepare accordingly.	Бързо приятелско предупреждение: Агенцията иска да увеличи интензивността на проверките. Бъди готов, че може да искат да погледнат в шкафовете ти и се подготви съответно.	Un avertissement rapide et amical: l'Agence veut augmenter l'intensité des inspections. Soyez prêt à ce qu'ils regardent à l'intérieur de vos placards et préparez-vous en conséquence.	Короткое дружеское предупреждение: Агентство планирует проводить более тщательные инспекции. Будьте готовы к тому, что они начнут обыскивать даже коробки.
Letter/minutLetterCupboardControl2	And here I am with another warning: some people in the Agency are determined to prove you really are up to something, and they will look into your cupboards and cabinets even more closely. Be sure to keep anything that might be suspicious out of their sight!	И ето ме отново с предупреждение: някои хора в Агенцията са решени да докажат, че наистина замисляш нещо, и ще проверяват шкафовете и гардеробите ти още по-внимателно. Увери се, че нищо подозрително не им се изпречва на очите!	Et me voici avec un autre avertissement: certaines personnes au sein de l'Agence sont déterminées à prouver que vous préparez vraiment quelque chose, et elles examineront encore plus attentivement vos placards et vos armoires. Assurez-vous de garder hors de leur vue tout ce qui pourrait être suspect!	И снова я, с очередным предупреждением: некоторые люди в Агентстве серьезно намерены доказать, что вы что-то задумали. Они будут осматривать ваши коробки и шкафчики даже более тщательно, чем раньше. Убедитесь, что они не смогут ничего отыскать!
Letter/huntLetterAd	<i><b><pos=20%><size=140%>HUNTER'S CLUB\n<line-height=20%>\n<line-height=100%><pos=10%><size=100%>Everything what the wilderness around Murricaville has to offer! Fresh game from different animals, free-range and ethically shot to death! And if you want to do the hunting yourself – I offer a wide choice of traps & baits.\n<line-height=70%><pos=40%><size=80%>-- Lavinia, your local huntress	<i><b><pos=20%><size=140%>ЛОВЕН КЛУБ\n<line-height=20%>\n<line-height=100%><pos=10%><size=100%>Всичко, което дивата природа около Мърикавил може да предложи! Свеж дивеч от различни животни, отглеждани на свобода и етично застреляни до смърт! А ако искате сами да ловувате – предлагам богат избор от капани и примамки.\n<line-height=70%><pos=40%><size=80%>-- Лавиния, вашата местна ловджийка	<i><b><pos=20%><size=140%>CLUB DE CHASSE\n<line-height=20%>\n<line-height=100%><pos=10%><size=100%>Tout ce que la nature sauvage de Murricaville a à offrir! Gibier frais de différents animaux, abattu en liberté et en respectant l'éthique! Et si vous voulez chasser vous-même, je vous propose un large choix de pièges et d'appâts.\n<line-height=70%><pos=40%><size=80%>-- Lavinia, votre chasseuse locale	<i><b><pos=20%><size=140%>ОХОТНИЧИЙ КЛУБ\n<line-height=20%>\n<line-height=100%><pos=10%><size=100%>Все, что может предложить дикая природа Мерикосвиля! У нас можно приобрести мясо самых разных животных. Застрел гуманный! А если же вы хотите поохотиться сами – предлагаем вашему вниманию широкий спектр ловушек и приманок.\n<line-height=70%><pos=40%><size=80%>-- Ваша охотница Лавиния
Letter/minutLetter7	I regret to inform you that while our small sabotage has worked out brilliantly – Agent FitzPatrick will never bother any citizens again – I am in a dire situation now. We took out the Agent, but the Agency has noticed my special interests anyway. I am in hiding now; I had to leave my job, house, and most of my things. I am not as well prepared for such situations like you, so I need to ask for your help. Could you send me some food? Preferably canned and long-lasting.\nI also need to inform you of something you won't read in the Truth: the international situation is very tense currently. It seems the foreign powers have serious concerns about the real purpose of the Brazen Serpent satellite. It's hard to say how it ends.\nTake care and don't forget about me, Mr. Prepper!\n	Съжалявам да ви информирам, че макар малкият ни саботаж да е проработил блестящо – агент Фицпатрик никога повече няма да притеснява гражданите – аз сега съм в тежка ситуация. Унищожихме агента, но Агенцията забеляза моите специални интереси. Сега съм в укритие; трябваше да напусна работата си, къщата и повечето си вещи. Не съм толкова добре подготвен за такива ситуации като вас, затова се нуждая от вашата помощ. Можете ли да ми изпратите малко храна? Предпочитам консерви и дълготрайни продукти.\nТрябва също така да те информирам за нещо, което няма да прочетеш в Истината: международната ситуация в момента е много напрегната. Изглежда чуждестранните сили имат сериозни притеснения относно истинската цел на сателита Змийска отрова. Трудно е да се каже как ще завърши всичко това.\nГрижи се и не ме забравяй, г-н Препър!\n	J'ai le regret de vous informer que même si notre petit sabotage a fonctionné avec brio - l'agent FitzPatrick ne dérangera plus jamais les citoyens - je suis dans une situation désastreuse maintenant. Nous avons éliminé l'Agent, mais l'Agence a quand même remarqué mes intérêts particuliers. Je me cache maintenant; J'ai dû quitter mon travail, ma maison et la plupart de mes affaires. Je ne suis pas aussi bien préparé que vous à de telles situations, je dois donc vous demander de me venir en aide. Pouvez-vous m'envoyer de la nourriture? De préférence en boîte et de longue conservation.\nJe dois également vous informer de quelque chose que vous ne lirez pas dans la Vérité: la situation internationale est actuellement très tendue. Il semble que les puissances étrangères aient de sérieuses inquiétudes quant à l'objectif réel du satellite Serpent d'Airain. Il est difficile de dire comment ça va finir.\nFaites attention et ne m'oubliez pas, Mr. Prepper!	К сожалению, несмотря на наш блестящий успех – агент Фицпатрик больше не станет донимать граждан, – я оказался в страшной ситуации. Мы избавились от агента, но Агентство все же меня заметило. Я в бегах. Мне пришлось бросить работу, дом и имущество. У мало опыта в таких делах, и мне нужна ваша помощь. Вы можете отправить мне немного еды? Такой, чтобы надолго хватило.\nРасскажу, что не пишут в «Правде»: международные отношения сейчас крайне напряженные. Похоже, другие государства обеспокоены «Медным змием». Не забывайте меня и берегите себя, мистер Выживальщик!
Letter/minutLetter8	Thank you very much for the food you sent me! You are my inspiration and guardian angel, Mr. Prepper. \nThis might be the last letter I am sending you and I have one final request. They are coming for me to my hideout. And I need to be prepared: either for forcing my way through them or making my last stand. For that, I need sufficient firepower. A regular handgun will not do.\nDear Mr. Prepper, could you give me an automatic rifle and 100 rounds of ammunition? If I survive the battle, I promise to answer a lot of questions that must be bugging you. If I do not, please remember me dearly, Mr. Prepper.\n	Благодаря ти много за храната, която ми изпрати! Ти си моят вдъхновител и ангел-пазител, господин Препър. \nТова може да е последното писмо, което ти изпращам, и имам една последна молба. Те идват за мен в скривалището ми. И трябва да съм подготвен: или да си пробия път през тях, или да направя последния си отпор. За това ми трябва достатъчно огнева мощ. Обикновена ръчна пушка няма да свърши работа.\nСкъпи господин Препър, бихте ли ми дали автоматична пушка и 100 патрона? Ако оцелея в битката, обещавам да отговоря на много въпроси, които вероятно ви тормозят. Ако не, моля, спомняйте си за мен с обич, господин Препър.\n	Merci beaucoup pour la nourriture que vous m'avez envoyée! Vous êtes mon inspiration et mon ange gardien, Mr. Prepper.\nC'est peut-être la dernière lettre que je vous envoie et j'ai une dernière requête. Ils viennent me chercher dans ma cachette. Et je dois être préparé: soit pour me frayer un chemin à travers eux, soit pour livrer ma dernière bataille. Pour cela, j'ai besoin d'une puissance de feu suffisante. Une arme de poing ordinaire ne fera pas l'affaire.\nCher Mr. Prepper, pourriez-vous me donner un fusil automatique ainsi que 100 cartouches? Si je survis à la bataille, je promets de répondre à toutes vos questions. Si je n'y arrive pas, souvenez-vous bien de moi, Mr. Prepper.	Спасибо, что присылаете мне еду! Мистер Выживальщик, вы мой ангел-хранитель и источник вдохновения. \nВозможно, это последнее мое письмо. У меня осталась еще одна просьба. Они хотят прийти за мной в убежище. Мне нужно подготовиться: либо пробиваться силой, либо дать последний бой. Для этого мне понадобится мощное оружие. Обыкновенный пистолет не подойдет.\nДорогой мистер Выживальщик, не могли бы вы дать мне автоматическую винтовку и 100 патронов? Если я выживу в этой битве, то обещаю ответить на многие гложущие вас вопросы. А если нет, то не поминайте лихом.
Letter/				
Letter/HalloweenNote	Dear Citizen, Boo-hoo! It's Halloween time!Find the scarecrow! (And please remember to be compliant with security & wellbeing regulations at all times.)	Скъпи гражданино, Ууу! Време е за Хелоуин! Намери чучелото! (И моля, не забравяй да спазваш правилата за сигурност и благополучие през цялото време.)	Cher citoyen, Boo-hoo! C'est l'heure d'Halloween! Trouvez l'épouvantail! (Et n'oubliez pas de vous conformer, en tout temps, aux réglementations en matière de Sécurité et de Bien-être.) 	Дорогой гражданин... Бу! Настал Хэллоуин! Найдите пугало (и не забывайте следовать положениям акта о безопасности и благополучии).
Letter/farmInvitationTittle	Work Order - Farm	Работна поръчка - Ферма	Ordre de Travail – Ferme	Наряд на работу – ферма
Letter/farmInvitation	Dear Citizen,\nin accordance with the Resources & Workforce Allocation Act, you are now assigned to the task of repair and maintenance of the White Sands Farm. Please arrive to the location without any unnecessary delay. \nBless the President,	Скъпи гражданино,\nсъгласно Закона за разпределение на ресурси и работна сила, сега сте назначен на задачата за ремонт и поддръжка на фермата White Sands. Моля, пристигнете на мястото без излишни забавяния. \nБоже, пази президента,	Cher Citoyen,\nConformément à la loi sur la répartition des ressources et de la main-d'œuvre, vous êtes désormais affecté à la tâche de réparation et d'entretien de la ferme White Sands. Vous êtes prié de vous présenter sur place dans les plus brefs délais.\nQue Dieu bénisse le président,	Уважаемый гражданин,\nВ соответствии с актом о ресурсах и распределении рабочей силы, вы назначаетесь ответственным за ремонт и обслуживание фермы «Белые пески». Пожалуйста, явитесь на место работы и не опаздывайте без веской причины. \nБоже, храни президента,
Letter/farmInvitationSignature	The Agency	Агенцията	L'Agence	Агентство
Letter/joeUraniumTittle	A New Find	Ново откритие	Une Nouvelle Découverte\n	Новая находка
Letter/joeUraniumLetter	Hey, Prepper!\nCome to my junkyard, I have something for you! A very interesting find! It glows in UV light!	Здравей, Препър!\nЕла в моя скрап, имам нещо за теб! Много интересна находка! Глемо в UV светлина!	Salut, Prepper !\nViens à ma casse, j’ai quelque chose pour toi ! Une trouvaille très intéressante ! Elle brille sous la lumière UV !\n	Привет, Prepper!\nПриходи на мою свалку, у меня есть кое-что для тебя! Очень интересная находка! Светится под ультрафиолетом!\n
Letter/joeSignature	Joe 	Джо	Joe	Джо\n
Letter/cryoTechNote1	cryoTechNote	Забележка за криотехнологията		
Letter/cryoTechNote2	cryoTechNote	Забележка за криотехнология		
Letter/cryoTechNote3	cryoTechNote	Технологична бележка за криогенна капсула		
Letter/cryoTechNote4	cryoTechNote	Забележка за криотехнологията		
Letter/cryoTechNote5	cryoTechNote	Забележка за криотехнология		
Tips/tip	Tip	Съвет	Astuce	Подсказка
Tips/tipDefault0	Prepare yourself for the worst	Подготви се за най-лошото	Préparez-vous au pire	будьте готовы к худшему
