# key	english	bulgarian	french	russian
UI/reportManualNextVisit	To be conducted in 1–7 days intervals, depending on the suspicion level.	Да се извършва на интервали от 1 до 7 дни, в зависимост от нивото на подозрение.	À effectuer tous les 1 à 7 jours, selon le niveau de suspicion.	Проводится с интервалом в 1-7 дней в зависимости от уровня подозрительности.
UI/reportManualItems	Standard house equipment	Стандартно оборудване за къща	Équipement standard de la maison	Стандартное домашнее оборудование
UI/reportManualConsumption	Consumption rate up to	Скорост на консумация до	Taux de consommation jusqu'à	Уровень потребления до
UI/reportManualItemsText	The rating is up to your judgement, but you should pay attention to the lack of certain items or excess thereof (relative to the standard).	Оценката зависи от теб, но трябва да обърнеш внимание на липсата на някои предмети или излишъка им (спрямо стандарта).	La note dépend de votre évaluation, mais vous devriez faire attention à l'absence de certains objets ou à leurs trop grands nombres (par rapport à la norme).	Рейтинг – на ваше усмотрение. Обращайте внимание на отсутствие или избыток предметов (относительно стандарта).
UI/reportManualEleInfo	Check the electricity box	Провери електрическата кутия	Vérifiez le boîtier électrique	Проверяйте электрический ящик
UI/reportManualSinkInfo	Check the sink	Провери мивката	Vérifiez l'évier	Проверяйте раковину
UI/reportManualWaterInfo	Water usage per day (since the last visit)	Използване на вода на ден (от последното посещение)	Consommation quotidienne en eau (depuis la dernière visite)	- воды/день (с последнего визита)
UI/reportManualBorderRed	The most\nSuspicious	Най-много\nПодозрителен	Le plus\nSuspect	Особенно\nподозрительно
UI/reportManualBorderOrange	More\nSuspicious	По-подозрителен\nПо-подозрителен	Plus\nSuspect	Более\nподозрительно
UI/tooltipQuantity	Safe quantity	Безопасно количество	Quantité sûre	Уровень безопасности
UI/tooltipType	For all items of the category	За всички предмети от категорията	Pour tous les objets de la catégorie	Для всех предметов категории
UI/reportNotOpen	I'll come tomorrow. Avoiding inspection has serious consequences!	Ще дойда утре. Избягването на проверка има сериозни последици!	Je reviendrais demain. Eviter une inspection entraine de sérieuses conséquences!	Завтра я снова приду. Попытки избежать проверок ведут к серьезным последствиям!
UI/reportUnsuccessful	Unsuccessful	Неуспешно	Infructueux	Неудача
UI/pcs	pcs.	бр.	pcs.	штук.
UI/EventBlackoutC	The electricity has been cut off!	Електричеството е спряно!	L'électricité a été coupée!	Электричество отключили!
UI/EventNoWaterC	The water has been cut off!	Водата е спряна!	L'eau a été coupée!	Воду отключили!
UI/EventTradeC	The Postman is missing!	Пощальонът изчезна!	Le Facteur est absent!	Почтальон пропал!
UI/EventAgentC	The Agent	Агентът	L'Agent	Агент
UI/shelterSpaceOccupied	Shelter space is already occupied	Убежището вече е заето	Espace de l'abri déjà occupé	Место в убежище уже занято
UI/shelterSiloUnreachable	The silo is unreachable. Build more rooms to reach it.	Силозът е недостъпен. Постройте повече стаи, за да го достигнете.	Le silo est hors d'atteinte. Construisez des pièces supplémentaires pour l'atteindre.	Невозможно пройти к шахте. Постройте другие комнаты, чтобы добраться до нее.
UI/demoBlockText	Not available in the demo	Не е налично в демото	Pas disponible dans la démo	Недоступно в демоверсии
UI/endOfDemo	Demo Ends	Демото свършва	Fin de la démo	Конец демоверсии
UI/LimitBar	Sleep to recover	Заспивай, за да се възстановиш	Dormez pour récupérer	Поспите, чтобы восстановить
UI/BlueprintsIcon	Blueprints [Tab]	Чертежи [Tab]	Plans [Tab]	Чертежи [Tab]
UI/StatusIcon	Prepper Status [U]	Статус на препъра [U]	Statut Prepper [U]	Статус выживальщика [U]
UI/ClockIcon	Clock [T]	Часовник [T]	Horloge [T]	Часы [T]
UI/ConstructionIcon	Construction [B]	Строителство [B]	Construction [B]	Стройка [B]
UI/InventoryIcon	Inventory [I]	Инвентар [I]	Inventaire [I]	Инвентарь [I]
UI/Bunker	Bunker	Бункер	Bunker	Бункер
UI/Farming	Farming	Селско стопанство	Agriculture	Фермерство
UI/Decorative	Decorative	Декоративен	Décoration	Украшения
UI/Food0	Basic recipes	Основни рецепти	Recettes de base	Простые рецепты
UI/Food1	Cookbook 1	Кулинарна книга 1	Livre de recettes 1	Кулинарная книга 1
UI/Food2	Cookbook 2	Кулинарна книга 2	Livre de recettes 2	Кулинарная книга 2
UI/Food3	Cookbook 3	Кулинарна книга 3	Livre de recettes 3	Кулинарная книга 3
UI/FoodFarm	Farm Cookbook	Кулинарна книга за фермата	Livre de recettes de la ferme	Кулинарная книга фермера
UI/AnimalFarmDLC	Animal Farm	Ферма на животните	Animal Farm	Скотный двор
UI/controlEsc	Menu	Меню	Menu	Меню
UI/controlTab	Blueprints	Чертежи	Plans	Чертежи
UI/controlCtrl	Fast forward	Бързо напред	Avance rapide	Быстрая перемотка
UI/controlQ	Change weapon	Смени оръжието	Changer d'arme	Сменить оружие
UI/controlWSAD	Move camera	Премести камерата	Bouger la camera	Подвинуть камеру
UI/controlT	Time control	Контрол на времето	Contrôle du temps	Упр. временем
UI/controlB	Bunker construction	Строителство на бункер	Construction bunker	Строительство бункера
UI/controlU	Gear / Journal	Екипировка / Дневник	Équipement / Journal	Оборудование / блокнот
UI/controlI	Inventory	Инвентар	Inventaire	Инвентарь
UI/controlSpace	Center the camera / Drive around obstacles	Центрирай камерата / Шофирай около препятствията	Centrer la camera / Contourner les obstacles	Отцентрировать камеру / Объехать препятствия
UI/controlSpacePort	Center the camera	Центрирай камерата	Centrer la caméra	Выровняй камеру по центру
UI/controlLMB	Move / Quick action	Премести се/Бързо действие	Bouger / Action rapide	Движение / быстрое действие
UI/controlRMB	Interact	Взаимодействай	Intéragir	Взаимодействовать
UI/controlKeyboardLayout	Keyboard layout	Подредба на клавиатурата	Disposition du Clavier	Раскладка клавиатуры
UI/controlQuickGrab	Quick grab	Бързо вземане	Prendre rapidement	Быстрый подбор
UI/controlGrid	Alternate item placement grid	Алтернативна мрежа за поставяне на предмети	Grille de placement d'objet alternative	Изменить отображение расположения предметов
UI/controlBoost	Drive Boost	Ускорение за шофиране	Boost Véhicule	Ускорение машины
UI/contextEAT	EAT	Яж	MANGER	ЕСТЬ
UI/contextSLEEP	SLEEP	Сън	DORMIR	СПАТЬ
UI/contextCRAFT	CRAFT	ИЗРАБОТКА	CRÉER	СОЗДАТЬ
UI/contextTRADE	Trade	Търговия	Échanger	ТОРГОВАТЬ
UI/contextRECEIVE	RECEIVE	Получи	RECEVOIR	ПОЛУЧИТЬ
UI/contextRECHARGE	RECHARGE	ПРЕЗАРЕДИ	RECHARGER	ЗАПРАВИТЬ
UI/contextWATER	WATER	Вода	ARROSER	ПОЛИТЬ
UI/contextPLANT	PLANT	Засади	PLANTER	ПОСАДИТЬ
UI/contextHARVEST	HARVEST	ЖЪНЕЖ	RECOLTER	СОБРАТЬ
UI/contextREAD	READ	Прочети	LIRE	ЧИТАТЬ
UI/contextTURNON	TURN ON	Включи	ALLUMER	ВКЛЮЧИТЬ
UI/contextNAP	NAP	СПИ	SIESTE	ВЗДРЕМНУТЬ
UI/contextCOOK	COOK	Сготви	CUISINER	ПРИГОТОВИТЬ
UI/contextEQUIP	EQUIP	ОБЛЕКЛО	ÉQUIPER	ВЗЯТЬ
UI/contextTALK	TALK	ГОВОРИ	PARLER	ПОГОВОРИТЬ
UI/contextCOLLECT	COLLECT	Събери	COLLECTER	СОБРАТЬ
UI/contextCHANGECOLOR	CHANGE COLOR	Смени цвета	CHANGER DE COULEUR	СМЕНИТЬ ЦВЕТ
UI/contextUSE	USE	ИЗПОЛЗВАЙ	UTILISER	ИСПОЛЬЗ.
UI/contextREPAIR	Repair	Поправи	Réparer	ПОЧИНИТЬ
UI/contextMINE	MINE	Рудник	MINER	КОПАТЬ
UI/contextQUICK_PLANT	QUICK PLANT	БЪРЗО ЗАСАДИ	PLANTATION RAPIDE	БЫСТ. ПОСАД.
UI/contextQUICK_SET	QUICK SET	БЪРЗО НАСТРОЙКИ	INSTALLATION RAPIDE	БЫСТРО УСТАНОВИТЬ
UI/contextLAUNCH_ROCKET	LAUNCH THE ROCKET	ИЗСТРЕЛЯЙ РАКЕТАТА		ЗАПУСТИТЬ РАКЕТУ
UI/contextOPEN	OPEN	ОТВОРИ	OUVRIR	ОТКРЫТЬ
UI/contextINSPECT	INSPECT	ПРЕГЛЕДАЙ	INSPECTER	ОСМОТРЕТЬ
UI/contextGRAB	GRAB	ВЗЕМИ	PRENDRE	ВЗЯТЬ
UI/contextBUILD	BUILD	ИЗРАБОТИ	CONSTRUIRE	ПОСТРОИТЬ
UI/contextHIDE	HIDE	Скрий	CACHER	СПРЯТАТЬ
UI/contextPOWERON	POWER ON	Включи	ALLUMER	ВКЛЮЧИТЬ
UI/contextPOWEROFF	POWER OFF	ИЗКЛЪЧВАНЕ	ÉTEINDRE	ВЫКЛЮЧИТЬ
UI/contextDESTROY	DESTROY	Унищожи	DÉTRUIRE	УНИЧТОЖИТЬ
UI/contextCHOP	CHOP	ОТСЕЧИ	COUPER	РУБИТЬ
UI/contextCANCEL	CANCEL	Отмени	ANNULER	ОТМЕНИТЬ
UI/contextDOWN	Down 	Надолу	Descendre	ВНИЗ
UI/contextUP	Up 	Нагоре	Monter	ВВЕРХ
UI/contextGETBACK	Get back 	Върни се	Remonter	ВЕРНУТЬСЯ
UI/contextMELT	Melt	Стопи	Fondre	РАСПЛАВИТЬ
UI/contextDRY	Dry	Сух	Sécher	СУШИТЬ
UI/contextGIVE	Give	Дай	Donner	ОТДАТЬ
UI/contextLEVEL	LEVEL	НИВО	NIVEAU	УРОВЕНЬ 
UI/contextAsk	Ask	Попитай	Demander	СПРОСИТЬ
UI/contextFort	Fort Observer	Наблюдател на крепостта	Fort Observer	«НАБЛЮДАТЕЛЬ»
UI/contextCustomize	Customize	Персонализирай	Personnaliser	ИЗМЕНИТЬ
UI/attributeStamina	Stamina	Издръжливост	Endurance	выносливость
UI/attributeHealth	Health	Здраве	Santé	здоровье
UI/attributePrep	Preparedness	Готовност	Préparation	живучесть
UI/Resume	Resume	Продължи	Reprendre	Вернуться
UI/Back	<back	Назад	<retour	< Назад
UI/BackPort	back	назад	retour	Назад
UI/Apply	Apply	Приложи	Appliquer	Принять
UI/habitat	habitat	убежище	habitat	Место обитания
UI/planBunker	Build the bunker	Построй бункера	Construire un bunker	Построить бункер
UI/planFood	Establish a food source	Намери храна	Établir une source de nourriture	Найти источник еды
UI/planMakeAPlan	Make a plan	Направи план	Faire un plan	Придумать план
UI/planRocket1	Ultimate Rocket Plan Phase 1	Крайна фаза на ракетата 1	Plan de Fusée Ultime Phase 1	Грандиозный ракетный план, фаза 1
UI/planRocket2	Ultimate Rocket Plan Phase 2	Окончателен план за ракета - Фаза 2	Plan de Fusée Ultime Phase 2	Грандиозный ракетный план, фаза 2
UI/planRocket3	Ultimate Rocket Plan Phase 3	Окончателен план за ракета - Фаза 3	Plan de Fusée Ultime Phase 3	Грандиозный ракетный план, фаза 3
UI/planRocket4	Ultimate Rocket Plan Phase 4	Крайна фаза на плана за ракета 4	Plan de Fusée Ultime Phase 4	Грандиозный ракетный план, фаза 4
UI/actionPlan	Plan	План	Plan	Спланировать
UI/rocketProlog	More of the rocket\nin the full version	Повече от ракетата\nв пълната версия	Plus sur la fusée dans la version complète	Ракета вернется\nв полной версии
UI/railWayProlog	You need the full version \nof the game to repair that	Имаш нужда от пълната версия \nна играта за да поправи това	Vous devez attendre la version complète pour réparer ça.	Ремонт доступен\nв полной версии игры
UI/demoEnd1	Thank you for playing the demo!	Благодаря ти, че играеш демото!	Merci d'avoir joué à la démo!	Спасибо, что сыграли в демо!
UI/demoEnd2	   If you want to try to survive in the bunker and live the Prepper's story we encourage you to visit Mr. Prepper's full game Steam Page: 	Ако искаш да опиташ да оцелееш в бункера и да изживееш историята на препъра, те насърчаваме да посетиш пълната игра на Mr. Prepper в Steam:	   Si vous voulez essayer de survivre dans le bunker et vivre l'histoire de Prepper, nous vous encourageons à visiter la page Steam du jeu complet de Mr. Prepper:	   Если вы хотите испытать себя и выжить в бункере, а также узнать всю историю Mr. Prepper, рекомендуем посетить страницу игры в Steam:
UI/demoEnd3	Mr. Prepper steam page	Препър страница в Steam	Page Steam de Mr. Prepper	Страница Mr. Prepper в Steam
UI/demoEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this small part of our game!\n	   Добави го в списъка си с желания и се абонирай, за да си в крак!\n   Надяваме се, че ти хареса тази малка част от нашата игра!\n	    Ajoutez-le à votre liste de souhaits et abonnez-vous pour être à jour!\n    Nous espérons que vous avez apprécié cette petite partie de notre jeu!	   Добавьте игру в список желаемого и подпишитесь, чтобы быть в курсе всех новостей!\n   Надеемся, вам понравился этот небольшой кусочек нашей игры!
UI/demoEnd5	Kind regards,\nRejected Games	С уважение,\nОтхвърлени игри	Bien cordialement,\nRejected Games	С уважением,\nRejected Games.
UI/demoEnd6	   P.S. although this is the end of demo, and the rest of the content is only available in the full version, you can continue playing if you wish ;D	П.С. макар че това е краят на демото и останалата част от съдържанието е достъпна само във пълната версия, можеш да продължиш да играеш, ако искаш ;D	    P.S. bien que ce soit la fin de la démo et que le reste du contenu ne soit disponible que dans la version complète, vous pouvez continuer à jouer si vous le souhaitez ;D	   P.S. На этом демо заканчивается, и остальную часть игры вы увидите в полной версии, но если хотите, можете продолжить играть ;D
UI/demoEnd7	Exit Game	Излез от играта	Quitter le Jeu	Выйти
UI/demoEnd8	Continue playing	Продължи да играеш	Continuer à jouer	Продолжить играть
UI/myCash	My cash	Моите пари	Mon argent	Мои деньги
UI/trust	trust	доверие	confiance	Доверие
UI/lowPrep	Your preparedness is low	Твоята готовност е ниска	Votre Préparation est basse	Низкий уровень живучести
UI/SeedsOnly	Seeds only	Само семена	Graines uniquement	Для семян
UI/BaitsOnly	Baits only	Само примамки	Pièges uniquement	Для приманки
UI/Prepper	Set up	Направи	Piéger	Заготовить
UI/FoodOnly	Food only	Само храна	Nourriture uniquement	Для еды
UI/WaterOnly	Water only	Само вода	Eau uniquement	Для воды
UI/Upgrade	Upgrade	Подобри	Amélioration	Улучшить
UI/ChooseSlot	Choose a slot	Избери слот	Choisir un emplacement	Выберите слот
UI/UI	UI	Потребителски интерфейс	Interface Utilisateur	Интерфейс
UI/Suspiciousness	Suspiciousness	Подозрителност	Suspicion	Подозрительность
UI/Skills	Skills	Умения	Compétences	Навыки
UI/warning	Warning!!!	Внимание!!!	Attention!!!	Внимание!!!
UI/deleteSave	Are you sure you want to pernamently <color=red>delete</color> this save file?	Сигурен ли си, че искаш окончателно <color=red>изтриване</color> на този запис?	Êtes-vous sûr de vouloir <color=red>effacer</color> de façon permanante cette sauvegarde?	Вы действительно хотите навсегда <color=red>удалить</color> это сохранение?
UI/sleepWarning	You should go to sleep	Трябва да си легнеш.	Vous devriez aller dormir	Вам нужно поспать
UI/GoToSleepClock	Time to sleep! You will collapse soon.	Време е за сън! Скоро ще се сринеш.	C'est l'heure de dormir! Vous allez bientôt vous évanouir.	Пора спать! Скоро вы просто рухнете на пол.
UI/unlocked	unlocked	отключен	débloqué	– открыто
UI/pillar	Ropeway pillar	Стълб на въжената линия	Pilier du téléphérique	Столб канатки
UI/Trash	Trash	Смет	Déchets	Мусорка
UI/changeWeaponTip	Press [Q] to change weapon/tool	Натисни [Q], за да смениш оръжието/инструмента.	Appuyez sur Q pour changer d'arme/d'outil	Нажмите [Q], что сменить оружие/инструмент
UI/changeWeaponTipPort	Press <sprite index=Button30_UIAtlas> to change weapon/tool	Натисни <sprite index=Button30_UIAtlas> за смяна на оръжие/инструмент	Déplacez <sprite index=Button30_UIAtlas> vers le haut pour changer d'arme / d'outil	Перемести <sprite index=Button30_UIAtlas> вверх, чтобы сменить оружие/инструмент
UI/grabTip	[Alt] + LMB to quick grab	[Alt] + ЛКМ за бързо хващане	Alt + clic gauche pour prendre rapidement	[Alt] + ЛКМ – быстрый подбор
UI/grabTipPort	Hold <sprite index=Button26_UIAtlas> and press <sprite index=Button0_UIAtlas> to quick grab	Дръж <sprite index=Button26_UIAtlas> и натисни <sprite index=Button0_UIAtlas> за бързо вземане	Maintenez <sprite index=Button26_UIAtlas> enfoncée et appuyez sur <sprite index=Button0_UIAtlas> pour une prise rapide	Удерживай <sprite index=Button26_UIAtlas> и нажми <sprite index=Button0_UIAtlas>, чтобы быстро схватить
UI/fastForwardTip	Hold [Left Ctrl] to fast forward	Дръж [Left Ctrl], за да превърташ бързо напред	Maintenez la touche Ctrl gauche pour accélérer le temps	Зажатый [левый Ctrl] – ускоренная перемотка
UI/prologueEnd1	This storyline is to be continued in the full version!	Тази история ще продължи в пълната версия!	Le scénario est à continuer dans la version complète!	История продолжится в полной версии!
UI/prologueEnd2	If you want to try to survive in the bunker and live the Prepper's story, we encourage you to visit Mr. Prepper's full game Steam Page: 	Ако искаш да опиташ да оцелееш в бункера и да изживееш историята на препъра, те насърчаваме да посетиш пълната игра на Mr. Prepper в Steam:	    Si vous voulez essayer de survivre dans le bunker et vivre l'histoire de Prepper, nous vous encourageons à visiter la page Steam du jeu complet de Mr. Prepper:	Если вы хотите испытать себя и выжить в бункере, а также узнать всю историю Mr. Prepper, рекомендуем посетить страницу игры в Steam:
UI/prologueEnd3	Mr. Prepper Steam page	Страница на Mr. Prepper в Steam	Page Steam de Mr. Prepper	Страница Mr. Prepper в Steam
UI/prologueEnd4	   Add it to your Wishlist and Subscribe to be up to date!\n   We hope you enjoyed this part of our game!\n	   Добави го в списъка си с желания и се абонирай, за да си в крак!\n   Надяваме се, че ти хареса тази част от нашата игра!\n	    Ajoutez-le à votre Liste de souhaits et abonnez-vous pour être à jour!\n    Nous espérons que vous avez apprécié cette partie de notre jeu!	   Добавьте игру в список желаемого и подпишитесь, чтобы быть в курсе всех новостей!\n   Надеемся, вам понравился этот кусочек нашей игры!
UI/prologueEnd5	Kind regards,\nRejected Games	С уважение,\nОтхвърлени игри	Bien cordialement,\nRejected Games	С уважением,\nRejected Games.
UI/prologueEnd6	   P.S. Although this is the end of Prologue's story it's not the end of the content you can discover. Feel free to continue! :)	П.С. Въпреки че това е краят на историята от Пролога, това не е краят на съдържанието, което можеш да откриеш. Продължавай смело! :)	    P.S. bien que ce soit la fin du prologue, ce n'est pas la fin du contenu que vous pouvez découvrir. N'hésitez pas à continuer! :)	   P.S. Сюжет пролога закончился, но это не значит, что закончился контент. Вы можете продолжить играть :)
UI/prologueEnd7	Exit Game	Излез от играта	Quitter le Jeu	Выйти
UI/prologueEnd8	Continue playing	Продължи да играеш	Continuer à jouer	Продолжить играть
UI/gearTip1	To equip a baseball bat, open your gear	За да облечеш бейзболна бухалка, отвори своя инвентар	Pour équiper la batte de baseball, ouvrez votre équipement	Чтобы взять биту, откройте свое снаряжение
UI/gearTip2	Double click a baseball bat to equip it	Кликни два пъти върху бейзболна бухалка, за да я въоръжиш.	Double cliquez sur la batte de baseball pour l'équiper	Дважды щелкните по бите, чтобы взять ее в руки
UI/gearTip2Port	Double press <sprite index=Button0_UIAtlas> on a baseball bat to equip it	Двойно натисни <sprite index=Button0_UIAtlas> на бейсболова бита, за да го екипираш	Appuyez deux fois sur <sprite index=Button0_UIAtlas> de la batte de baseball pour l’équiper	Дважды нажми <sprite index=Button0_UIAtlas> на бейсбольной бите, чтобы её экипировать
UI/gearTip3	Press Q to toggle your weapon	Натисни Q, за да превключиш оръжието си.	Appuyez sur A pour changer d'arme	Нажмите Q, чтобы поменять оружие
UI/gearTip3Port	Press <sprite index=Button30_UIAtlas> to toggle your weapon	Натисни <sprite index=Button30_UIAtlas> за превключване на оръжието си	Déplacez <sprite index=Button30_UIAtlas> vers le haut pour basculer l'arme	Перемести <sprite index=Button30_UIAtlas> вверх, чтобы переключить оружие
UI/skip	Skip	Пропусни	Passer	Пропустить
UI/prologueFarmingInfo1	In Prologue, ways of upgrading your farm are limited,	В Пролога начините за надграждане на твоята ферма са ограничени,	Dans le Prologue, l'amélioration des cultures est limitée,	В прологе не так много способов улучшить ферму,
UI/prologueFarmingInfo2	which makes survival very challenging in the long run.	което прави оцеляването много трудно в дългосрочен план.	ce qui rend la survie plus dure dans le temps.	из-за этого выживать довольно непросто.
UI/prologueFarmingInfo3	In the full version, you will gain access to better, more efficient plants,	В пълната версия ще имаш достъп до по-добри и по-ефективни растения.	Dans la version complète, vous aurrez accès à plus de plantes de meilleures qualités,	В полной версии вы получите доступ к более эффективным растениям,
UI/prologueFarmingInfo4	more tools to make your plants grow faster,	повече инструменти за по-бърз растеж на растенията ти,	plus d'outils pour faire pousser vos plantes plus vite,	новым инструментам для ускорения их роста
UI/prologueFarmingInfo5	and more ways of obtaining water and electricity.	и още начини за получаване на вода и електричество.	et d'autres moyens pour obtenir de l'eau et de l'électricité.	и новым способам получения воды и электричества.
UI/arrested	Arrested	Арестуван	Arrêté	Арестован
UI/escape	Escape	Изход	Fuir	Сбежать
UI/drive	Drive	Карай	Conduire	ЕХАТЬ
UI/driveForward	Drive Forward	Напред	Conduire	Ехать вперед
UI/backToJoe	Back to Joe	Върни се при Джо	Retour vers Joe	Вернуться к Джо
UI/toggleFortObserver	Fort Observer	Наблюдател на крепостта	Fort Observer	База «Наблюдатель»
UI/toggleScavenge	Scavenge	Чисти	Piller	Искать припасы
UI/driveTooltipBeta	You can't go further in beta	Не можеш да продължиш в бета.	Vous ne pouvez pas aller plus loin dans la beta	В бета-версии дальше не заедешь.
UI/inFullVersion	(In full version)	(В пълната версия)	(Dans la version complète)	(В полной версии)
UI/driveToFort	Drive to the fort	Отиди до крепостта	Conduire jusqu'au fort 	Ехать на базу
UI/driveForwardTooltip				
UI/backToJoeTooltip	Back to the junkyard	Върни се в автоморгата	Retour à la décharge	Вернуться на свалку
UI/driveToFortTootlip				
UI/driveForwardDesc	Take a risk	Рискувай	Prendre le risque	Рискнуть
UI/driveToFortDesc				
UI/tooLittleFuel	Not enough fuel	Недостатъчно гориво	Pas assez de carburant	Недостаточно топлива
UI/PutOnBackPack	Put on a backpack to unlock	Сложи раница, за да отключиш	Mettre le sac à dos pour déverrouiller	Наденьте рюкзак, чтобы разблокировать
UI/tutTipDisassemble1	Mr. Prepper can learn new recipes by disassembling items.	Препър може да научи нови рецепти, като разглобява предмети.	M. Prepper peut apprendre de nouvelles recettes en démontant des objets.	Мистер Выживальщик может узнавать новые рецепты, разбирая предметы.
UI/tutTipDisassemble2	If you disassemble something from your house,	Ако разглобиш нещо от къщата си,	Si vous démontez quelque chose de votre maison,	Если вы разберете что-то из своего дома,
UI/tutTipDisassemble3	you will always be able to reconstruct it.	винаги ще можеш да го сглобиш отново.	vous pourrez toujours le reconstruire.	то всегда сможете заново создать эти вещи.
UI/tipAdventuringGear1	With the backpack equipped, you can now use quick access slots.	С раницата, вече можеш да използваш бързите слотове.	Avec le sac à dos équipé, vous pouvez maintenant utiliser les emplacements d'accès rapide.	Надев рюкзак, вы можете использовать слоты быстрого доступа.
UI/tipAdventuringGear2	You can equip food, combat gear and other consumables here.	Тук можеш да облечеш храна, бойна екипировка и други консумативи.	Vous pouvez y équiper des aliments, des équipements de combat et autres consommables.	В них вы можете поместить еду, другие расходуемые предметы или боевое снаряжение.
