# key	english	bulgarian	french	russian
Items/DesKeyWallLamp	This kind of lamp is supposedly perfect for use in underground shelters.	Този вид лампа е идеален за използване в подземни убежища.	Ce type de lampe est sensé être parfait pour une utilisation dans les abris souterrains.	Такие лампы должны идеально подходить для использования в подземных укрытиях.
Items/DesKeyWardrobe	Hide something in it or turn it into wood.	Скрий нещо в него или го превърни в дърво.	Cachez quelque chose à l'intérieur ou transformez-le en bois.	Спрячьте в нем что-нибудь или переработайте в древесину.
Items/DesKeyWardrobe2	Hide something in it or turn it into wood.	Скрий нещо в него или го превърни в дърво.	Cachez quelque chose à l'intérieur ou transformez-le en bois.	Спрячьте в нем что-нибудь или переработайте в древесину.
Items/DesKeyWardrobe3	Hide something in it or turn it into wood.	Скрий нещо в него или го превърни в дърво.	Cachez quelque chose à l'intérieur ou transformez-le en bois.	Спрячьте в нем что-нибудь или переработайте в древесину.
Items/DesKeyWater	This is the basic unit of water. It will make your plants happy.	Това е основната единица вода. Ще направи растенията ти щастливи.	C'est l'unité de base de l'eau. Rendra vos plantes heureuses.	Это простая единица воды. Осчастливит ваши растения.
Items/DesKeyWaterMachine	This wonder of modern technology will collect water for you.\n	Това чудо на съвременната технология ще събира вода за теб.\n	Cette merveille de technologie moderne collectera l'eau pour vous.	Это чудо современных технологий соберет для вас воду.
Items/DesKeyWatertank	You can put it wherever you like and fill it with plenty of water.\nWhen a drought comes, it can be your main source of water.	Можеш да го сложиш където искаш и да го напълниш с много вода.\nКогато настъпи суша, може да бъде основният ти източник на вода.	\nVous pouvez le mettre où vous voulez et le remplir avec de l'eau.\nLorsqu'une sécheresse survient, il peut devenir votre principale source d'eau.	Вы можете поставить его где угодно и наполнить большим количеством воды.\nКогда наступит засуха, он станет основным источником влаги.
Items/DesKeyWinterClothes	This clothing will keep you warm in difficult conditions.	Тези дрехи ще те стоплят в трудни условия.	Ce vêtement vous gardera au chaud dans des conditions difficiles.	Эта одежда позволит вам сохранять тепло в суровых условиях.
Items/DesKeyWolf Skin	Now you can be a sheep in wolf's skin! Use the pelt to craft warm clothes.	Сега можеш да бъдеш овца в кожа на вълк! Използвай кожата, за да изработиш топли дрехи.	Maintenant vous pouvez être un mouton dans une peau de loup! Utilisez la peau pour fabriquer des vêtements chauds.	Теперь вы можете быть овечкой в волчьей шкуре! Используйте шкуру для изготовления теплой одежды.
Items/DesKeyWood	Basic material. There is plenty of it in the forest.	Основен материал. Има много от него в гората.	Matériau de base. Il y en a plein dans la forêt.	Простой материал. Ее очень много в лесу.
Items/DesKeyWooden Chest	Designed to hide your treasures.	Проектиран да крие твоите съкровища.	Conçu pour cacher vos trésors.	Создан, чтобы хранить ваши сокровища.
Items/DesKeyWoodenChest	Designed to hide your treasures.	Създаден да крие твоите съкровища.	Conçu pour cacher vos trésors.	Создан, чтобы хранить ваши сокровища.
Items/DesKeyWoodenPallet	Another source of wood. 	Друг източник на дърво.	Une autre source de bois.	Еще один источник древесины.
Items/DesKeyWorkbench	Lets you create and disassemble items.	Позволява ти да създаваш и разглобяваш предмети.	Vous permet de créer et démonter des objets.	С его помощью можно создавать и разбирать предметы.
Items/DesKeyWorkbench level 1	Lets you create and disassemble items.	Позволява ти да създаваш и разглобяваш предмети.	Vous permet de créer et démonter des objets.	С его помощью можно создавать и разбирать предметы.
Items/DesKeyWorkbench level 2	Lets you create and disassemble items.	Позволява ти да създаваш и разглобяваш предмети.	Vous permet de créer et démonter des objets.	С его помощью можно создавать и разбирать предметы.
Items/DesKeyWorkbench level 3	Lets you create and disassemble items.	Позволява ти да създаваш и разглобяваш предмети.	Vous permet de créer et démonter des objets.	С его помощью можно создавать и разбирать предметы.
Items/DesKeyWorkbench level 4	Lets you create and disassemble items.	Позволява ти да създаваш и разглобяваш предмети.	Vous permet de créer et démonter des objets.	С его помощью можно создавать и разбирать предметы.
Items/DesKeyWorkshop shelf large	Perfect for stacking all your stuff in the bunker.	Идеален за трупане на всичко в бункера.	Parfait pour ranger toutes vos affaires dans le bunker.	Идеально подходит для складирования вещей в бункере.
Items/DesKeyWorkshop shelf small	Perfect for stacking all your stuff in the bunker.	Идеално за трупане на всичко в бункера.	Parfait pour ranger toutes vos affaires dans le bunker.	Идеально подходит для складирования вещей в бункере.
Items/DesKeyZielarka	--			--
Items/DesKeyZielarkaProto	--			--
Items/DesKeybeartrap	Set them in the forest to get fresh meat.	Постави ги в гората, за да получиш прясно месо.	Placez-les dans la forêt pour obtenir de la viande fraîche.	Можно установить в лесу, чтобы раздобыть свежее мясо.
Items/DesKeyelectricity box	The electricity meter shows current power levels in your home and in the bunker.	Електромерът показва текущите нива на ток в дома ти и в бункера.	Le compteur électrique indique les niveaux de puissance actuels dans votre maison et dans le bunker.	Счетчик электроэнергии показывает текущий уровень потребления электроэнергии в доме и бункере.
Items/DesKeypillarHolder	Used for traveling between forest areas. Needs to be repaired first.	Използва се за пътуване между горски райони. Първо трябва да бъде поправен.	Utilisé pour voyager entre les zones de la forêt. Doit d'abord être réparé.	Используется, чтобы перемещаться между участками леса. Только сначала его нужно отремонтировать.
Items/DieselBarrel1	Fuel Barrel	Варел за гориво	Baril de Carburant	Бочка топлива
Items/Electronics	Electronics	Електроника	Composants électroniques	Электроника
Items/Field Ration	Field Ration	Храна за полеви условия	Ration de survie	Сухпаек
Items/Field Ration Big	Big Field Ration	Голяма полева дажба	Grande ration  de survie	Большой сухпаек
Items/Flower	Plant	Засади	Plante	Растение
Items/Flower2	Plant	Засади	Plante	Растение
Items/Freezer	Freezer	Фризер	Congélateur	Морозильник
Items/Fridge	Fridge	Хладилник	Réfrigérateur	Холодильник
Items/Fuel	Fuel	Гориво	Carburant	Топливо
Items/GasolineBarrel	Fuel Barrel	Варел за гориво	Baril de Carburant	Бочка топлива
Items/Generator	Generator	Генератор	Générateur	Генератор
Items/Glass	Glass	Стъкло	Verre	Стекло
Items/GreenHouse	Greenhouse	Оранжерия	Serre	Парник
Items/Ground	Ground	Земя	Terre	Почва
Items/HuntingClothes	Hunting Clothes	Ловни дрехи	Vêtements de chasse	Одежда для охоты
Items/Kettle	Kettle	Джезве	Bouilloire	Чайник
Items/KitchenHood	Kitchen Hood	Качулка за кухнята	Hotte de Cuisine	Кухонная вытяжка
Items/KitchenWardrobe2	Kitchen Cupboard	Кухненски шкаф	Placard de Cuisine	Кухонный шкафчик
Items/KitchenWardrobe3	Kitchen Cupboard	Кухненски шкаф	Placard de Cuisine	Кухонный шкафчик
Items/KitchenWardrobe4	Kitchen Cupboard	Кухненски шкаф	Placard de Cuisine	Кухонный шкафчик
Items/KitchenWardrobe5	Kitchen Cupboard	Кухненски шкаф	Placard de Cuisine	Кухонный шкафчик
Items/KitchenWardrobe_M	Kitchen Cupboard	Кухненски шкаф	Placard de Cuisine	Кухонный шкафчик
Items/Ladder	Ladder	Стълба	Echelle	Лестница
Items/Lamp	Lamp	Лампа	Lampe	Лампа
Items/Lettuce	Cabbage	Зеле	Chou	Капуста
Items/Lever	Lever	Лост	Levier	Рычаг
Items/Log	Log	Дневник	Rondin	Бревно
Items/Loona Tuna	Loona Tuna	Риба тон на Луна	Thon Loona	Тунец
Items/MailBox	Mailbox	Пощенска кутия	Boîte aux lettres	Почтовый ящик
Items/Manhole	Manhole	Капак на шахтово съоръжение	Trappe	Люк
Items/Meat	Meat	Месо	Viande	Мясо
Items/Metal	Metal	Метал	Métal	Металл
Items/MinerHelmet	Miner Helmet	Миньорска каска	Casque de Mineur	Шахтерская каска
Items/Money	Money	Пари	Argent	Деньги
Items/Newspaper	Newspaper	Вестник	Journal	Газета
Items/OilBarrel1	Oil Barrel	Варел за петрол	Baril de Pétrole	Бочка топлива
Items/Orange	Orange	Оранжево	Orange	Апельсин
Items/Pan	Pan	Тиган	Poêle	Сковорода
Items/Phone	Phone	Телефон	Téléphone	Телефон
Items/Picture1	Canvas	Платно	Tableau	Картина
Items/Plastic	Plastic	Пластмаса	Plastique	Пластик
Items/Plate Green	Green Plate	Зелена чиния	Assiette Verte	Зеленая тарелка
Items/Plate Red	Red Plate	Червена плоча	Assiette Rouge	Красная тарелка
Items/Plate White	White Plate	Бяла чиния	Assiette Blanche	Белая тарелка
Items/Pot Green	Green Pot	Зелена тенджера	Pot Vert	Зеленая кастрюля
Items/Pot Main	Blue Pot	Синя тенджера	Pot Bleu	Синяя кастрюля
Items/Pot Red	Red Pot	Червена тенджера	Pot Rouge	Красная кастрюля
Items/Radio	Radio	Радио	Radio	Радио
Items/Rafinery	Refinery	Рафинерия	Raffinerie	Аппарат для очистки
Items/Revolver	Revolver	Револвер	Revolver	Револьвер
Items/Rifle	Rifle	Пушка	Fusil	Винтовка
Items/RocketPlan	Rocket Plan	План за ракета	Plan de Fusée	План ракеты
Items/SaltPepper	Salt	Сол	Sel	Соль
Items/Seed Apple	Apple Seed	Семе от ябълка	Pépins de Pomme	Яблочные семена
Items/Seed Carrot	Carrot Seed 	Семе от морков	Graines de Carotte	Морковные семена
Items/Seed Corn	Corn Seed 	Семена от царевица	Grains de Maïs	Кукурузные семена
Items/Seed Lettuce	Cabbage Seed 	Семена от зеле	Graines de Chou	Капустные семена
Items/Seed Orange	Orange Seed 	Семе от портокал	Pépins d'Orange	Апельсиновые семена
Items/Seed Tomato	Tomato Seed 	Семе от домат	Graines de Tomate	Томатные семена
Items/Seed Turnip	Beet Seed 	Семе от цвекло	Graines de Betterave	Свекольные семена
Items/Shelf	Shelf	Рафт	Étagère	Полка
Items/Sink	Sink	Мивка	Évier	Раковина
Items/Sofa	Sofa	Диван	Canapé	Диван
Items/Soup	Soup	Супа	Soupe	Суп
Items/Stone	Stone	Камък	Pierre	Камень
Items/Stove	Stove	Печка	Four	Плита
Items/TEST	TEST	ТЕСТ		
Items/Table	Table	Маса	Table	Стол
Items/TestSeed	TestSeed	ТестСеме		
Items/Textile	Textile	Текстил	Tissu	Ткань
Items/Tomato	Tomato	Домат	Tomate	Томат
Items/Towel1	Towel	Кърпа	Serviette	Полотенце
Items/Trashpaper	Waste Paper	Вестникарска хартия	Vieux Journal	Макулатура
Items/Tree Patch	Tree Patch	Дървесен пач	Terrain pour arbre	Участок для дерева
Items/TreePatch	Planter	Посадъчен съд	Jardinière	Кадка
Items/Turnip	Beet	Червено цвекло	Betterave	Свекла
Items/Wall Lamp	Wall Lamp	Лампа за стена	Applique	Настенная лампа
Items/WallLamp	Wall Lamp	Лампа за стена	Applique	Настенная лампа
Items/Wardrobe	Wardrobe	Гардероб	Placard	Шкаф
Items/Wardrobe2	Wardrobe	Гардероб	Placard	Шкафчик
Items/Wardrobe3	Wardrobe	Гардероб	Placard	Шкафчик
Items/Water	Water	Вода	Eau	Вода
Items/WaterMachine	Waterloo 1815	Вотерло 1815	Waterloo 1815	Ватерлоо 1815
Items/Watertank	Water Tank	Воден резервоар	Réservoir d'Eau	Резервуар для воды
Items/WinterClothes	Warm Clothes	Топли дрехи	Vêtements Chauds	Теплая одежда
Items/Wolf Skin	Wolf Skin	Кожа на вълк	Peau de Loup	Волчья шкура
Items/Wood	Wood	Дърво	Bois	Древесина
Items/Wooden Chest	Wooden Chest	Дървен сандък	Caisse en Bois	Деревянный сундук
Items/WoodenChest	Wooden Chest	Дървен сандък	Caisse en bois	Деревянный сундук
Items/WoodenPallet	Wooden Pallet	Дървена палета	Palette en Bois	Деревянный поддон
Items/Workbench	Workbench	Работна маса	Atelier	Верстак
Items/Workbench level 1	Workbench level 1	Работна маса ниво 1	Établi niveau 1	Верстак, уровень 1
Items/Workbench level 2	Workbench level 2	Работна маса ниво 2	Établi niveau 2	Верстак, уровень 2
Items/Workbench level 3	Workbench level 3	Работна маса ниво 3	Établi niveau 3	Верстак, уровень 3
Items/Workbench level 4	Workbench level 4	Работна маса ниво 4	Établi niveau 4	Верстак, уровень 4
Items/Workshop shelf large	Workshop shelf - large	Работна маса - голяма	Étagère d'Atelier - grande	Полка мастерской – большая
Items/Workshop shelf small	Workshop shelf - small	Работна маса - малка	Étagère d'Atelier - petite	Полка мастерской – маленькая
Items/Zielarka	Zielarka	Чистач		
Items/ZielarkaProto	ZielarkaProto	Прототип на Zielarka		
Items/beartrap	Bear Trap	Капан за мечка	Piège à Ours	Медвежий капкан
Items/electricity box	Electric Box	Електрическа кутия	Boitier Electrique	Счетчик
Items/pillarHolder	Ropeway Pillar	Стълб на въжената линия	Pilier du Téléphérique	Столб канатки
Items/DesKeyRoomUpgradeBox	Place an upgrade module in it to upgrade a room.	Постави модул за надграждане, за да надградиш стая.	Placez-y un module d'amélioration pour améliorer une pièce.	Чтобы улучшить комнату, поместите в нее модуль улучшения.
Items/RoomUpgradeBox	Room Upgrade Box	Кутия за надграждане на стая	Boîte d'amélioration de pièce	Ящик улучшения комнаты
Items/SignHome	Sign	Знак	Panneau	Знак
Items/DesKeySignHome	Use it to travel to other locations.	Използвай го, за да пътуваш до други места.	Utilisez-le pour voyager vers d'autres lieux.	Используйте его для путешествий в другие места.
Items/Sign	Sign	Знак	Panneau	Знак
Items/DesKeySign	Use it to travel.	Използвай го, за да пътуваш.	Utilisez-le pour voyager.	Используйте его для путешествий.
Items/MiningMachine	Mining Machine	Машина за добив	Machine de Forage	Добывающая машина
Items/UraniumMiningMachine	Mining Machine	Машина за добив	Machine de Forage	Добывающая машина
Items/DesKeyMiningMachine	Fill it with fuel and it will mine for you.\nCome back later to collect the spoil.	Напълни го с гориво и то ще копае за теб.\nВърни се по-късно, за да събереш плячката.	Remplissez-la de carburant et elle creusera pour vous.\nRevenez plus tard pour récolter le butin.	Заправьте ее топливом, и она будет добывать ресурсы.\nВозвращайтесь позже, чтобы забрать добычу.
Items/MiningTrolley	Mining Trolley	Минна количка	Chariot de Mine	Вагонетка
Items/DesKeyMiningTrolley	Used to store items from the Mining Machine	Използва се за съхранение на предмети от мината.	Utilisé pour stocker les objets de la Machine de Forage	Используется для хранения предметов, полученных из добывающей машины.
Items/Amo	Ammo	Амуниции	Munition	Боеприпасы
Items/AnimalPart1	Feathers	Пера	Plumes	Перья
Items/AnimalPart2	Tusk	Бивни	Défense animale	Бивень
Items/AnimalPart3	Racoon Tail	Опашка на енот	Queue de Raton-Laveur	Хвост енота
Items/AnimalPart4	Fox Tail	Опашка на лисица	Queue de Renard	Хвост лисы
Items/AnimalPart5	Antlers	Рога	Bois de Cerf	Рога
Items/BasicBait	Basic Bait	Основна стръв	Appât de base	Простая приманка
Items/BigGameBait	Big Game Bait	Голяма стръв	Appât de Gros Gibier	Приманка для крупной добычи
Items/BlueberryJam	Blueberry Jam	Синя боровинка конфитюр	Confiture de Myrtilles	Черничное варенье
Items/Cactus	Cactus	Кактус	Cactus	Кактус
Items/CactusJam	Cactus Jam	Джем от кактус	Confiture de Cactus	Кактусовое варенье
Items/Cake	Pie	Торта	Tarte	Пирог
Items/CannedSoup	Canned Soup	Консервирана супа	Soupe en Conserve	Консервированный суп
Items/CannedStaw	Canned Stew	Консервирано ястие	Ragoût en Conserve	Консервированное рагу
Items/CarrotJam	Carrot Jam	Конфитюр от моркови	Purée de Carottes	Морковное варенье
Items/Chicken	Chicken	Пиле	Poulet	Курица
Items/ChineseSoup	Instant Ramen	Инстантно нудълс	Ramen Instantané	Лапша быстрого приготовления
Items/CookBook1	Cook Book I	Кулинарна книга I	Livre de Cuisine I	Поваренная книга I
Items/CookBook2	Cook Book II	Кулинарна книга II	Livre de Cuisine II	Поваренная книга II
Items/CookBook3	Cook Book III	Кулинарна книга III	Livre de Cuisine III	Поваренная книга III
Items/Cucumber	Cucumber	Краставица	Concombre	Огурец
Items/CucumberSoup	Cucumber Soup	Супа от краставици	Soupe de Concombres	Огуречный суп
Items/DearMeat	Haunch of meat	Буто от месо	Cuissot 	Окорок
Items/DesKeyBlueberryJam	Blueberry jam, just like from grandma. It will satisfy your hunger and provide you with energy at the same time.	Синя боровинка, точно като от баба. Ще задоволи глада ти и ще ти даде енергия едновременно.	Confiture de myrtilles, comme celle de mamie. Satisfera votre faim et vous fournira de l'énergie en même temps.	Черничное варенье, как у бабушки. Утоляет голод и заряжает энергией.
Items/DesKeyCactus	Prickly but tasty - if done properly.	Бодлив, но вкусен - ако се направи правилно.	Épineux mais savoureux - si cuisiné correctement.	Колючий, но вкусный, если правильно приготовить.
Items/DesKeyCactusJam	A delicious jam made of cactuses. Or is it cacti? It will satisfy your hunger and provide you with energy at the same time.	Вкусен мармалад от кактуси. Или пък от кактуси? Ще задоволи глада ти и ще ти даде енергия едновременно.	Une délicieuse confiture faite de cactus. Satisfera votre faim et vous fournira de l'énergie en même temps.	Вкусное варенье из кактуса. Кактусов?.. Утоляет голод и заряжает энергией.
Items/DesKeyCake	Maybe you'd be happy for a while. It will satisfy your hunger and provide you with energy at the same time.	Може би ще си щастлив за известно време. Ще задоволи глада ти и ще ти даде енергия едновременно.	Vous serez peut-être heureux quelques temps. Satisfera votre faim et vous fournira aussi de l'énergie.	Выживальщики тоже не прочь полакомиться пирогом. Утоляет голод и заряжает энергией.
Items/DesKeyCannedSoup	A can so beautiful you want to paint it. And the soup will last longer in it.	Консерва толкова красива, че искаш да я нарисуваш. И супата ще издържи по-дълго в нея.	Une boîte de conserve si belle que vous avez envie de la peindre. Et la soupe à l'intérieur durera plus longtemps.	Такая красивая консерва, что хочется ее нарисовать. Суп в ней хранится дольше.
Items/DesKeyCannedStaw	The stew will last longer in a can.	Супата ще издържи по-дълго в консерва.	Le ragoût durera plus longtemps dans une boîte de conserve.	Тушеное мясо дольше сохранится в консерве.
Items/DesKeyCarrotJam	Give carrot jam a chance, it's not only baby food. It will satisfy your hunger and provide you with energy at the same time.	Опитай морковения мармалад, не е само за бебета. Ще те засити и ще ти даде енергия едновременно.	Donnez une chance à la purée de carottes, ce n'est pas seulement de la nourriture pour bébé. Satisfera votre faim et vous fournira de l'énergie en même temps.	Не отказывайтесь от морковного варенья, оно подходит не только малышам. Утоляет голод и заряжает энергией.
Items/DesKeyChicken	Tastes like chicken!	Вкусът е като на пиле!	À le goût de poulet!	На вкус как курица!
Items/DesKeyChineseSoup	An international classic. It can last long and is very filling.	Международен класик. Държи дълго и е много засищащ.	Un classique international. Peut se conserver longtemps et est très copieux.	Международная классика. Долго хранится и хорошо утоляет голод.
Items/DesKeyCucumber	A cucumber. Don't underestimate it.	Краставица. Не я подценявай.	Un concombre. Ne le sous-estimez pas.	Огурец. Не стоит его недооценивать.
Items/DesKeyCucumberSoup	Cucumber soup. Try it and you'll never go back.	Супа от краставици. Опитай и никога няма да се върнеш.	Soupe de concombres. L'essayer c'est l'adopter.	Огуречный суп. После дегустации мир уже никогда не станет прежним.
Items/DesKeyDearMeat	Would you eat Bambi if he was seasoned really well?	Би ли ял Бъмби, ако беше добре подправен?	Mangeriez-vous Bambi s'il etait bien assaisonné?	Съели бы вы Бэмби, если бы его хорошо приготовили?
Items/DesKeyDriedApple	Keeps the doctor away even after season. Dried food lasts longer.	Държи доктора далеч дори след сезона. Сушената храна трае по-дълго.	Éloigne le médecin même après la saison. La nourriture séchée dure plus longtemps.	Убережет от докторов даже когда уже не сезон. Сухофрукты хранятся намного дольше.
Items/DesKeyDriedBerries	Dried berries from the local forest. Dried food lasts longer.	Сушени горски плодове. Сушената храна трае по-дълго.	Baies séchées de la forêt. La nourriture séchée dure plus longtemps.	Сушеные лесные ягоды. Высушенная пища хранится намного дольше.
Items/DesKeyDriedMeat	Dried meat. Dried food lasts longer.	Сушено месо. Сушената храна трае по-дълго.	Viande séchée. La nourriture séchée dure plus longtemps.	Сушеное мясо. Высушенная пища хранится намного дольше.
Items/DesKeyDriedOrange	Dried orange, not only for winter holidays. Dried food lasts longer.	Сушена портокалова кора, не само за зимните празници. Сушената храна трае по-дълго.	Oranges séchées, pas seulement pour les vacances d'hiver. La nourriture séchée dure plus longtemps.	Сушеный апельсин, только для праздников. Высушенная пища хранится намного дольше.
Items/DesKeyDriedTomatos	Dried tomatoes, an Italian classic. Dried food lasts longer.	Сушени домати, италиански класик. Сушената храна трае по-дълго.	Les tomates séchées, un classique italien. La nourriture séchée dure plus longtemps.	Сушеные томаты, итальянская классика. Высушенная пища хранится намного дольше.
Items/DesKeyEgg	A symbol of life. Nutritional value is off the charts!	Символ на живот. Хранителната стойност е извън скалата!	Symbole de la vie. Valeurs nutritionelles au top!	Символ жизни. Пищевая ценность просто зашкаливает!
Items/DesKeyEggInSalt	A classic preppers' food. It can last a long time.	Класическа храна за препъри. Може да издържи дълго време.	Un classique pour preppers. Peut durer longtemps.	Классическое блюдо в меню выживальщика. Долго хранится.
Items/DesKeyEnergyBar	Condensed energy in a bar. A temporary sleep replacement.	Кондензирана енергия в бар. Временен заместител на съня.	Une barre d'énergie concentrée. Un remplacement temporaire de sommeil.	Чистая энергия в виде батончика. Временно заменяет сон.
Items/DesKeyFarmingWallLamp	Provides better light for growing plants underground.	Осигурява по-добра светлина за отглеждане на растения под земята.	Fournit une meilleure lumière pour la culture des plantes sous terre.	Улучшает освещение для подземных растений.
Items/DesKeyFlour	An essential cooking ingredient.	Основна съставка за готвене.	Un ingrédient de cuisine indispensable.	Без нее на кухне никуда.
Items/DesKeyFurnace	Can be used for melting certain materials. Put some stone or iron ore into it and see what happens.	Може да се използва за топене на определени материали. Постави малко камък или желязна руда в него и виж какво ще стане.	Peut être utilisé pour faire fondre certains matériaux. Mettez de la pierre ou du minerai de fer dedans et voyez ce qu'il se passe.	Плавит некоторые материалы. Поместите в нее камень или железную руду и посмотрите, что будет.
Items/DesKeyGondola	It has probably dropped from the ropeway. Maybe there's still something interesting inside?	Вероятно е паднало от въжената линия. Може би все още има нещо интересно вътре?	Elle est probablement tombé du téléphérique. Peut-être qu'il y a encore quelque chose d'intéressant à l'intérieur?	Вероятно, он упал с канатной дороги. Может, внутри найдется что-нибудь интересное?
Items/DesKeyKimchi	Korean fermented cabbage. A touch of Orient in your shelter.	Кисело зеле. Малко ориенталско в твоето убежище.	Chou fermenté coréen. Une touche d'Orient dans votre abri.	Корейская квашеная капуста. Немного востока в вашем убежище.
Items/DesKeyMarinatedCorn	Marinated corn. A snack that can also serve as a proper meal.	Мариновано царевица. Лека закуска, която може да се превърне в пълноценно ястие.	Maïs mariné. Une collation qui peut également faire un vrai repas.	Маринованная кукуруза. Скорее закуска, но может заменить и полноценную трапезу.
Items/DesKeyMarinatedMushroom	Magic from the forest put in a jar. Enjoy all year long.	Магия от гората в буркан. Наслади се през цялата година.	La magie de la forêt mise dans un bocal. Profitez-en toute l'année.	Магия леса, заключенная в банку. Может храниться хоть целый год.
Items/DesKeyMeatPie	Emulate the atmosphere of an English pub in your shelter. A hearty meal.	Пресъздай атмосферата на английски пъб в твоето убежище. Пълноценна храна.	Simulez l'atmosphère d'un pub anglais dans votre abri. Un repas copieux.	Придает убежищу атмосферу английского паба. Сытное блюдо.
Items/DesKeyMeatStew	A hearty meat stew. Heavy, but very high caloric.	Силно месо с картофи. Тежко, но много калорично.	Un ragoût de viande copieux. Lourd, et très calorique.	Сытное тушеное мясо. Тяжелая, но очень калорийная пища.
