# key	english	bulgarian	french	russian
Dialogues/prepScarecrow2	<voice type=laugh>\nOh look, it’s him again. Or her? Them? I don’t know how gender works in scarecrows.	<voice type=laugh>\nО, виж го, той е тук отново. Или тя? Те? Не знам как работи пола при стражи.	<voice type=laugh>\nOh, c'est encore lui. Ou elle? Ou eux? Je ne sais pas comment fonctionne le genre chez les épouvantails.	<voice type=laugh>\nО, гляньте-ка, опять он. Или она? Оно? Гендерные различия пугал – не мой конек.
Dialogues/msagentFarmIntro1	<voice type=order>\nWe have spoken about this already. The condition of this farm is still unacceptable.\n<voice type=order>\nYou need to make improvements. This is the last warning, Mr. Will Corso.\n	<voice type=order>\nВече говорихме за това. Състоянието на тази ферма все още е неприемливо.\n<voice type=order>\nТрябва да направиш подобрения. Това е последното предупреждение, господин Уил Корсо.\n	<voice type=order>\nNous en avons déjà parlé. Les conditions dans votre ferme sont inacceptables.\n<voice type=order>\nVous devez procéder à des améliorations. C'est le dernier avertissement, Mr. Will Corso.	<voice type=order>\nМы уже это обсуждали. Ферма в неприемлемом состоянии.\n<voice type=order>\nВам нужно работать лучше. Это последнее предупреждение, мистер Уилл Корсо.
Dialogues/willFarmIntro2	<voice type=upset>\nThis is a lot of work, and I'm old. This is too much for me alone.	<voice type=upset>\nТова е много работа и съм стар. Това е твърде много за мен сам.	<voice type=upset>\nC'est beaucoup de travail et je suis vieux. C'est trop pour moi tout seul.	<voice type=upset>\nРаботы предстоит много, а я человек старый. Один не справлюсь.
Dialogues/msagentFarmIntro3	<voice type=disappointment>\nMr. Corso...	<voice type=disappointment>\nГ-н Корсо...	<voice type=disappointment>\nMr. Corso...	<voice type=disappointment>\nМистер Корсо...
Dialogues/msagentFarmIntro3.5	We are going to send you someone capable as an assistance.\n<voice type=order>\nPlease let him help you.	Ще ти изпратим някой способен за помощ.\n<voice type=order>\nМоля, позволи му да ти помогне.	Nous allons vous envoyer quelqu'un qui va pouvoir vous aider.\n<voice type=order>\nLaissez-le vous aider, s'il vous plaît.	Мы пришлем вам способного помощника.\n<voice type=order>\nПримите его помощь.
Dialogues/willFarmIntro4	<voice type=disappointment>\nEeeh, fine.	<voice type=disappointment>\nЕех, добре.	<voice type=disappointment>\nBon, d'accord.	<voice type=disappointment>\nЭх, ладно.
Dialogues/msagentToPrepperOnFarm1	<voice type=greeting>\nOh, he's already here. Bless the President, Mr. Prepper.	<voice type=greeting>\nО, той вече е тук. Боже, пази президента, г-н Препър.	<voice type=greeting>\nOh, il est déjà là. Que Dieu bénisse le Président, Mr Prepper.	<voice type=greeting>\nА, он уже тут. Боже, храни Президента, мистер Выживальщик.
Dialogues/prepToPrepperOnFarm2	<voice type=laugh>\nBless. I must admit I was surprised to learn that agriculture also lies within the competence of the Agency. 	<voice type=laugh>\nБлагодаря. Трябва да призная, че изненадан съм да науча, че и земеделието е в компетенциите на Агенцията.	<voice type=laugh>\nQue Dieu le bénisse. Je dois avouer que j'ai été surpris d'apprendre que l'agriculture faisait également partie des compétences de l'agence.	<voice type=laugh>\nИменно так. Должен признать, я удивился, когда узнал, что Агентство занимается даже сельским хозяйством.
Dialogues/msagentToPrepperOnFarm3	<voice type=order>\nIf I were a citizen on probation like you, Mr. Prepper, I would tone down the snarkiness.\n<voice type=order>\nAnd be extra mindful about all procedures and regulations.\n	<voice type=order>\nАко бях гражданин на изпитателен срок като теб, господин Препър, щях да намаля сарказма.\n<voice type=order>\nИ бъди особено внимателен с всички процедури и правила.\n	<voice type=order>\nSi j'étais, comme vous Mr Prepper, un citoyen en sursis, je ne me permettrais pas tant de sarcasme.\n<voice type=order>\nEt je serais particulièrement attentif aux procédures et aux règles.	<voice type=order>\nВы осужденный условно гражданин, мистер Выживальщик. На вашем месте я бы не язвил.\n<voice type=order>\nА еще очень внимательно выполнял все требования и правила.
Dialogues/prepToPrepperOnFarm4	<voice type=laugh>\nOh sure, procedures and regulations are some of my favourite things.\n<voice type=question>\nBut seriously, what's so special about this farm?\n	<voice type=laugh>\nО, разбира се, процедурите и регулациите са сред любимите ми неща.\n<voice type=question>\nАма сериозно, какво толкова специално има в тази ферма?\n	<voice type=laugh>\nOh oui, bien sûr, les procédures et les règles comptent parmi les choses que j'aime le plus au monde.\n<voice type=question>\nMais sérieusement, qu'est-ce qu'elle a de si particulier, cette ferme?	<voice type=laugh>\nА как иначе, я ведь больше всего на свете люблю требования и правила.\n<voice type=question>\nНо если без шуток, что в этой ферме такого особенного?
Dialogues/msagentToPrepperOnFarm5	<voice type=order>\nI am not going to discuss such matters with you, Mr. Prepper. Take care.	<voice type=order>\nНе ще обсъждам такива неща с теб, г-н Препър. Пази се.	<voice type=order>\nJe ne vais pas discuter de ça avec vous, Mr Prepper. Prenez bien soin de vous.	<voice type=order>\nЯ не собираюсь обсуждать с вами такие вопросы, мистер Выживальщик. Всего доброго.
Dialogues/willFarm1	<voice type=anger>\nSo who the hell are you? Why are you on my turf?	<voice type=anger>\nТо кой си ти? Защо си на моята територия?	<voice type=anger>\nQui tu es, toi? Qu'est-ce que tu fais chez moi?	<voice type=anger>\nНу и кто ты такой? Что забыл на моей территории?
Dialogues/prepFarm2	<voice type=greeting>\nThey call me Mr. Prepper. \nI got a work order telling me to come to this place and help in the maintenance works.\n	<voice type=greeting>\nНаричат ме г-н Препър. \nПолучих работна заповед да дойда на това място и да помогна с поддръжката.\n	<voice type=greeting>\nOn m'appelle Mr. Prepper. \nJ'ai un ordre de travail stipulant que je dois dois venir ici pour aider à des travaux de maintenance.	<voice type=greeting>\nМеня зовут мистер Выживальщик.\nЯ получил наряд на работу, который обязывает меня помочь с ремонтом этой фермы.
Dialogues/willFarm3	<voice type=disappointment>\nSo the Agency sends me a snitch now. Great, they are going to sack me. Or worse.	<voice type=disappointment>\nЗначи Агенцията ми изпраща доносител. Чудесно, ще ме уволят. Или още по-лошо.	<voice type=disappointment>\nAlors comme ça, l'agence m'envoie une taupe maintenant. Super. Ils vont me virer. Ou pire encore.	<voice type=disappointment>\nСтукачок, подосланный Агентством, значит. Меня ведь уволят. А то и хуже.
Dialogues/prepFarm4	<voice type=order>\nTrust me, I'm not a snitch! I'm not thrilled about this work order either.\nBut let's play along for now, and maybe we'll make it beneficial for both of us.	<voice type=order>\nВярвай ми, не съм доносител! И аз не съм в ясен свят от тази работа.\nНо да играем по правилата за момента, може да извлечем полза и за нас.	<voice type=order>\nJe ne suis pas une taupe, croyez-moi! Moi non plus, je ne suis pas ravi de ce travail.\nMais jouons le jeu et chacun de nous en tirera son parti.	<voice type=order>\nПоверь мне, я не стукач! Меня этот наряд на работу тоже не радует.\nНо пока давай подыграем, а в будущем, может, даже сможем повернуть все в свою пользу.
Dialogues/willFarm5	<voice type=disappointment>\nAh, to hell with all this. That whole Agency and this Agent in particular.\n<voice type=anger>\nIt's all their fault!\n<voice type=anger>\nThe state of the farm! And the condition of the animals!\n<voice type=anger>\nAll their fault!	<voice type=disappointment>\nАх, до инфер с всичко това. Всички тези Агенции и този конкретен Агент.\n<voice type=anger>\nВсичко е тяхна вина!\n<voice type=anger>\nСъстоянието на фермата! И състоянието на животните!\n<voice type=anger>\nВсичко е тяхна вина!	<voice type=disappointment>\nAh, qu'ils aillent tous au diable. L'agence entière et l'agent en particulier.\n<voice type=anger>\nTout ça, c'est leur faute!\n<voice type=anger>\nL'état de la ferme et les conditions des animaux!\n<voice type=anger>\nTout ça, c'est leur faute!	<voice type=disappointment> Ай, к черту. К черту Агентство и этого агента в частности.\n<voice type=anger>\nЭто все они виноваты! \n<voice type=anger>\nСостояние ферм! И условия, в которых существуют животные!\n<voice type=anger>\nВсе это их вина!
Dialogues/prepFarm6	<voice type=disappointment>\nUhm... Yes, right. I think I can help.\n<voice type=question>\nNow can I take a look around?	<voice type=disappointment>\nЕх... Да, точно. Мисля, че мога да помогна.\n<voice type=question>\nСега мога ли да разгледам наоколо?	<voice type=disappointment>\nHumm... D'accord. Je crois que je vais pouvoir vous aider.\n<voice type=question>\nJe peux faire un petit tour pour regarder?	<voice type=disappointment>\nЭм... ну да. Думаю, я смогу помочь.\n<voice type=question>\nМожно мне осмотреться?
Dialogues/willFarm7	<voice type=disappointment>\nAh sure, be my guest.\n<voice type=order>\nJust please, don't stray away too far. Me and Henry are watching you. 	<voice type=disappointment>\nРазбира се, чувствай се като у дома си.\n<voice type=order>\nМоля те, не се отдалечавай твърде много. Аз и Хенри те наблюдаваме. 	<voice type=disappointment>\nOui, bien sûr. Bienvenue.\n<voice type=order>\nMais ne vas pas trop loin, s'il te plaît. Henry et moi, on t'a à l’œil.	<voice type=disappointment>\nДа, конечно.\n<voice type=order>\nТолько не отходи слишком далеко. Мы с Генри присматриваем за тобой.
Dialogues/willFarm7.5	<voice type=order>\nJust to the barn and back, please. That's all you need for now.	<voice type=order>\nСамо до сарая и обратно, моля. Това е всичко, което ти трябва за момента.	<voice type=order>\nTu vas jusqu'à l'étable et tu reviens, s'il te plaît. Tu n'as pas besoin d'aller plus loin pour l'instant.	<voice type=order>\nСходи к амбару и назад. Ничего больше тебе и не нужно.
Dialogues/prepFarm8	<voice type=acceptance>\nOh. OK. Sure. I'll be respectful of your secrets.	<voice type=acceptance>\nОх. ОК. Разбира се. Ще уважавам тайните ти.	<voice type=acceptance>\nOh. Ok. Bien sûr. Je respecterai vos secrets.	<voice type=acceptance>\nА. Ладно. Не вопрос. Отнесусь к твоим тайнам с уважением.
Dialogues/willCheckFarmIncomplite1	<voice type=question>\nDid you find out what's wrong with my animals?	<voice type=question>\nРазбра ли какво е с животните ми?	<voice type=question>\nTu as trouvé ce qui n'allait pas avec les animaux?	<voice type=question>\nТы выяснил, что не так с моими животными?
Dialogues/prepCheckFarmIncomplite2	<voice type=negation>\nNo, not yet. The case seems a bit tricky.	<voice type=negation>\nНе, още не. Случаят изглежда малко сложен.	<voice type=negation>\nNon, pas encore. Ça a l'air un peu compliqué.	<voice type=negation>\nЕще нет. Все оказалось сложнее, чем я думал.
Dialogues/prepAnimalFeeder	It's completely empty.	Напълно празно е.	C'est complètement vide.	Ничего.
Dialogues/prepBrokenFence1	It's broken.	Счупено е.	C'est cassé.	Сломано.
Dialogues/prepBrokenFence2	<voice type=acceptance>\nNot that I'm a detective or anything, but it looks like it's these goats' doing.\nThey seem irritated. I should fix this before these beasts inflict even more damage.\nBut hmm... I think the damage is too big to be fixed on the spot.\n<voice type=acceptance>\nI guess we need a new gate to keep the goats away.	<voice type=acceptance>\nНе че съм детектив или нещо, но изглежда, че са тези кози.\nИзглежда раздразнени. Трябва да поправя това преди тези животни да причинят още повече щети.\nНо хмм... мисля, че щетите са твърде големи, за да се поправят на място.\n<voice type=acceptance>\nНали трябва да си направи нова врата, за да държим козите далеч.	<voice type=acceptance>\nJe ne voudrais pas jouer le détective, mais j'ai l'impression que c'est la faute de ces chèvres.\nElles ont l'air énervées. Je devrais réparer ça avant que ces sales bêtes ne fassent encore plus de dégâts.\nMais hummm... J'ai l'impression que les dégâts sont trop importants pour pouvoir être réparés comme ça.\n<voice type=acceptance>\nJe crois qu'il nous faut un nouveau portail pour tenir les chèvres à distance.	<voice type=acceptance>\nНе то чтобы я детектив, но, похоже, все дело в козах.\nКажется, они чем-то раздражены. Нужно починить ограду, чтобы козы не создали новых проблем.\nХм... Только вот полкомка слишком серьезная, так сразу не починишь.\n<voice type=acceptance>\nДумаю, нам понадобятся новые ворота, чтобы сдерживать коз.
Dialogues/prepBrokenFence3	I'll ask Will about this.\n	Ще попитам Уил за това.\n	Je vais demander à Will.	Поговорю об этом с Уиллом.
Dialogues/prepBrokenFenceTip	I have a new fence ready.\nI should place it here.	Имам нова ограда готова.\nТрябва да я сложа тук.	J'ai une nouvelle clôture de prête.\nIl faudrait que je la mette ici. 	Новая ограда готова.\nРазмещу ее здесь.
Dialogues/prepBrokenChickenHouse1	<voice type=question>\nWhat happened here?\n<voice type=question>\nDid a fragment of the ceiling fall down? Could an animal do it?	<voice type=question>\nКакво се е случило тук?\n<voice type=question>\nПадна ли парче от тавана? Може ли животно да го направи?	<voice type=question>\nQu'est-ce qu'il s'est passé ici?\n<voice type=question>\nUn morceau du plafond est tombé? Est-ce que c'est un animal qui a pu faire ça?	<voice type=question>\nЧто тут произошло?\n<voice type=question>\nУпала часть потолка? Это дело рук животных или нет?
Dialogues/prepBrokenChickenHouse2	It seems that the chickens have way too little space.\n<voice type=acceptance>\nI could fix that. I know a thing or two about expanding living space, after all.	Изглежда, че пилетата имат твърде малко място.\n<voice type=acceptance>\nМоже да поправя това. Знаеш малко неща за разширяване на жилищното пространство, в крайна сметка.	On dirait que les poules n'ont pas assez de place.\n<voice type=acceptance>\nJe pourrais arranger ça. Je m'y connais un peu en ce qui concerne l'agrandissement de l'espace vital.	Кажется, этим курам слишком мало места.\n<voice type=acceptance>\nЭто можно исправить. Я разбираюсь в расширении жилого пространства.
Dialogues/prepBarnBackDoor	Closed. \n<voice type=laugh>\nWhat can this funny old man keep hidden away? An alien's corpse or what? 	Затворено.\n<voice type=laugh>\nКакво може да крие този смешен стар човек? Чуждин труп или какво?	Fermé. \n<voice type=laugh>\nQu'est-ce que ce drôle de vieux bonhomme peut bien cacher? Le corps d'un alien ou quoi?	Заперто.\n<voice type=laugh>\nЧто может скрывать этот забавный старичок? Труп пришельца, что ли?
Dialogues/prepOddBand	They have some weird bands on them... Hm...\n<voice type=question>\nThey look like devices of some sort. Tracking devices, maybe?	Имат странни ленти... Хм...\n<voice type=question>\nИзглеждат като някакви устройства. Следете ли, може би?	Qu'est-ce que c'est que ces drôles de colliers?... Hummm...\n<voice type=question>\nOn dirait des sortes d'appareils. Peut être des appareils de pistage?	На них какие-то странные кольца... Хм...\n<voice type=question>\nПохоже, это какое-то устройство. Для слежки?
Dialogues/prepGoat	They seem really angry.	Изглеждат наистина ядосани.	Elles ont vraiment l'air énervées.	Кажется, они очень злые.
Dialogues/prepRottenHey	It's rotten.	Гнило е.	C'est pourri.	Сгнило.
Dialogues/prepFenceQ1	The fence is destroyed. I need to repair it before the goats make more damage everywhere.\n	Плетът е разрушен. Трябва да го поправя, преди козите да направят още щети навсякъде.\n	La clôture est foutue. Il faut que je la répare avant que les chèvres ne fassent d'autres dégâts ailleurs.	Ограда разрушена. Нужно починить ее, пока козы не натворили новых дел.
Dialogues/willFenceQ2	Mmm, a good point. I even made a sketch of a new gate, but never got around to make it.	Хмм, добра идея. Дори направих скица на нова врата, но така и не я направих.	Mmmm, c'est vrai. J'avais même fait un croquis du nouveau portail, mais je n'ai jamais pris le temps de le fabriquer.	М-м, ну да. У меня есть набросок новых ворот, но сделать их руки так и не дошли.
Dialogues/willFenceQ3	<voice type=order>\nThis is how it should look like. Hopefully you'll be able to make it more sturdy than the previous one.\n	<voice type=order>\nТака трябва да изглежда. Надеждата е да можеш да го направиш по-устойчиво от предишния.\n	<voice type=order>\nC'est à ça qu'il devrait ressembler. J'espère que tu arriveras à le faire plus solide que celui d'avant.	<voice type=order>\nВот так все должно выглядеть. Надеюсь, ограда получится крепче предыдущей.
Dialogues/prepFenceQ4	<voice type=laugh>\nOh, you do have some design skills! I'll do my best.	<voice type=laugh>\nО, имаш някакви умения за дизайн! Ще се опитам най-добре.	<voice type=laugh>\nOh, vous êtes doué pour la conception! Je vais faire de mon mieux.	<voice type=laugh>\nОго, да ты у нас дизайнер! Я постараюсь сделать все в лучшем виде.
Dialogues/willFenceRepairIncomplite1	<voice type=question>\nHave you fixed the fence already?	<voice type=question>\nПоправи ли вече оградата?	<voice type=question>\nTu as déjà réparé la clôture?	<voice type=question>\nНу как, починил ограду?
Dialogues/prepFenceRepairIncomplite2	<voice type=negation>\nNo, not yet.	<voice type=negation>\nНе, още не.	<voice type=negation>\nNon, pas encore.	<voice type=negation>\nПока нет.
Dialogues/prepGoatEnclouser	<voice type=negation>\nI need to herd the goats into the pen.	<voice type=negation>\nТрябва да събера козите в кошарата.	<voice type=negation>\nIl faut que je rassemble les chèvres dans cet enclos.	<voice type=negation>\nНужно заманить коз в загон.
Dialogues/prepFenceRepaired1	<voice type=acceptance>\nAnd fixed. This should hold back the tireless monsters for some time.	<voice type=acceptance>\nИ поправено. Това трябва да задържи ненаситните чудовища за известно време.	<voice type=acceptance>\nEt voilà, c'est réparé. Ça devrait arrêter ces bêtes du diable pendant un moment.	<voice type=acceptance>\nГотово. Пусть эти неустанные чудовища немного отдохнут.
Dialogues/prepFenceRepaired2	The animals are hungry. No wonder they're irritated.	Животните са гладни. Няма как да не са раздразнени.	Ces bêtes ont faim. Pas étonnant qu'elles soient énervées.	Они хотят есть. Естественно, их это раздражает.
Dialogues/prepFenceRepaired3	I'll ask Will what he's feeding them with.\n<voice type=disappointment>\nOr rather... What they are supposed to be fed with.	Ще попитам Уил какво им дава за храна.\n<voice type=disappointment>\nПо-скоро... с какво трябва да им дават храна.	Je vais demander à Will qu'est-ce qu'il leur donne à manger.\n<voice type=disappointment>\nOu plutôt, qu'est-ce qu'elles sont supposées manger.	Спрошу у Уилла, чем он их кормит.\n<voice type=disappointment>\nВернее... чем их стоило бы кормить.
Dialogues/prepWheat1	<voice type=order>\nThe fence is repaired.\n<voice type=disappointment>\nBut Will, I think we have a bigger problem at hand.\n<voice type=question>\nThe animals are hungry. What should I feed them with?	<voice type=order>\nПлетът е поправен.\n<voice type=disappointment>\nНо, Уил, мисля, че имаме по-голям проблем.\n<voice type=question>\nЖивотните са гладни. С какво да ги нахраня?	<voice type=order>\nLa clôture est réparée.\n<voice type=disappointment>\nMais Will, je crois qu'on a affaire à un problème bien plus important.\n<voice type=question>\nLes animaux ont faim. Qu'est-ce que je dois leur donner à manger?	<voice type=order>\nОграду я починил.\n<voice type=disappointment>\nНо у нас есть проблема посерьезнее.\n<voice type=question>\nЖивотные проголодались. Чем мне их кормить?
Dialogues/willWheat2	<voice type=upset>\nAah... You know, I never asked for this post. I'm not good with lifestock. \n<voice type=upset>\nAnd every day I wake up tired. Like there's something happening in the night. 	<voice type=upset>\nАах... Знаеш ли, никога не съм искал тази работа. Не съм добър с животните. \n<voice type=upset>\nИ всеки ден се събуждам уморен. Като че ли нещо се случва през нощта. 	<voice type=upset>\nAah... Tu sais, je n'ai jamais demandé à travailler ici. Je ne suis pas très doué avec les animaux.\n<voice type=upset>\nEt tous les jours, je me réveille fatigué. Comme s'il s'était passé quelque chose pendant la nuit.	<voice type=upset>\nА-а... Знаешь, я никогда не напрашивался на эту должность. Не умею обращаться со скотом. \n<voice type=upset>\nКаждый день я просыпаюсь уставшим. Как будто вкалываю по ночам.
Dialogues/prepWheat3	<voice type=order>\nLook, I'm not judging you. We all have our problems with the Agency.\n<voice type=question>\nI just want to help. So, what about the food?\n	<voice type=order>\nВиж, не те съдя. Всички имаме проблеми с Агенцията.\n<voice type=question>\nИскам просто да помогна. Така че, какво ще кажеш за храната?\n	<voice type=order>\nÉcoutez, je ne vous juge pas. On a tous nos problèmes avec l'agence.\n<voice type=question>\nJe veux juste vous aider. Alors, la nourriture?	<voice type=order>\nСлушай, я тебя не осуждаю. У всех нас есть проблемы с Агентством.\n<voice type=question>\nЯ просто хочу помочь. Так что там с едой?
Dialogues/willWheat4	<voice type=disappointment>\nRight... about the food.	<voice type=disappointment>\nДобре... за храната.	<voice type=disappointment>\nOui... la nourriture.	<voice type=disappointment>\nТочно... Еда.
Dialogues/willWheat5	Some fresh grain is growing over there.	Някакво прясно зърно расте там.	Il y a un peu de céréales qui poussent là-bas.	Там растут свежие зерновые.
Dialogues/willWheat6	<voice type=question>\nThe chickens love seeds the most. Right, Henry? 	<voice type=question>\nКокошките най-много обичат семена. Нали, Хенри? 	<voice type=question>\nCe que les poules préfèrent, ce sont les céréales. C'est bien ça, Henry?	<voice type=question>\nКурицы ведь любят семена. Верно, Генри?
Dialogues/willWheat6.5	<voice type=order>\nAnd the goats are keen on hay.	<voice type=order>\nИ козните са си в ястието за сено.	<voice type=order>\nEt les chèvres adorent le foin.	<voice type=order>\nА козы любят сено.
Dialogues/prepWheat7	<voice type=acceptance>\nOkay, got it.	<voice type=acceptance>\nДобре, разбрах.	<voice type=acceptance>\nOk, j'ai compris.	<voice type=acceptance>\nЛадно, я понял.
Dialogues/willWheatIncomplite1	<voice type=question>\nDid you feed my animals?	<voice type=question>\nХранѝ ли животните ми?	<voice type=question>\nTu as nourri mes animaux?	<voice type=question>\nТы покормил моих животных?
Dialogues/prepWheatIncomplite2	<voice type=negation>\nNot yet, sorry.	<voice type=negation>\nОще не, съжалявам.	<voice type=negation>\nNon, pas encore, excusez-moi.	<voice type=negation>\nПока нет, прости.
Dialogues/prepWheatSemiComplited2	<voice type=acceptance>\nYes, feeders are full.\nWe just need to wait for them to eat.\nThey are oddly shy, when I'm around.\nI will give them some space.	<voice type=acceptance>\nДа, храните са пълни.\nТрябва само да ги изчакаме да ядат.\nТе са странно смутени, когато съм близо.\nЩе им дам малко пространство.	<voice type=acceptance>\nOui, les mangeoires sont pleines.\nIl faut juste attendre qu'elles aient fini de manger.\nElles sont un peu méfiantes quand je suis à côté.\nJe vais leur laisser plus de place.	<voice type=acceptance>\nЯ заполнил кормушки.\nОсталось дождаться, когда животные поедят.\nОни на удивление застенчивы, когда я рядом.\nДам им немного пространства.
Dialogues/prepWheatTimeToMilk1	<voice type=acceptance>\nYes, animals are fed.	<voice type=acceptance>\nДа, животните са нахранени.	<voice type=acceptance>\nOui, les animaux ont été nourris.	<voice type=acceptance>\nДа, животные накормлены.
Dialogues/willWheatTimeToMilk2	Great! Try to get some milk out of one of those horned devils.\n<voice type=disappointment>\nI bet it will not work.	Супер! Опитай да извадиш мляко от един от тези рогати дяволи.\n<voice type=disappointment>\nСигурен съм, че няма да работи.	Super! Essaie d'obtenir un peu de lait d'une de ces diablesses à cornes.\n<voice type=disappointment>\nJe parie que ça ne va pas marcher.	Супер! Попробуй подоить этих рогатых негодниц.\n<voice type=disappointment>\nГотов поспорить, ничего не выйдет.
Dialogues/prepChickenFed1	<voice type=laugh>\nNow we're talking! Cackling, rather. And pecking.	<voice type=laugh>\nСега говориш! Кацкане, по-скоро. И пикане.	<voice type=laugh>\nAh, voilà. C'est plus le même discours, maintenant! Ça caquette. Ça picore.	<voice type=laugh>\nВот это разговор! Или, скорее, кудахтанье.
Dialogues/prepChickenFed2	<voice type=order>\nI think it's time to clean their space a bit.	<voice type=order>\nМисля, че е време да почистиш тяхното място малко.	<voice type=order>\nJe crois qu'il est temps de nettoyer un peu leur espace.	<voice type=order>\nПожалуй, пора расчистить немного пространства.
Dialogues/prepChickenFed3	It's getting very crowded by the feeder. There's room for improvement here.\n\n	Става доста претъпкано около хранилката. Има място за подобрение тук.\n\n	Ça fait vraiment beaucoup de monde autour des mangeoires. Il y aurait pas mal d'améliorations à faire.	У кормушки становится оживленно. Здесь больше нечего улучшать.
Dialogues/prepGoatFed1	<voice type=thanks>\nNow, they instantly look better!	<voice type=thanks>\nСега изглеждат веднага по-добре!	<voice type=thanks>\nElles ont tout de suite meilleure mine!	<voice type=thanks>\nОго, они кажутся довольными!
Dialogues/prepGoatFed2	Now they are fed, they might be willing to let me closer.	Сега, когато са нахранени, може би ще са по-склонни да ме допуснат по-близо.	Maintenant qu'elles ont mangé, elles vont peut être me laisser m'approcher un peu.	Они поели. Может, хоть теперь подпустят меня к себе.
Dialogues/prepGoatFed3	<voice type=disappointment>\nNope. Still pretty angry.\n<voice type=question>\nMaybe it's the fur? Is it too hot for them?	<voice type=disappointment>\nНе. Все още е доста ядосан.\n<voice type=question>\nМоже би е козината? Е твърде горещо за тях?	<voice type=disappointment>\nNon. Elles sont toujours pas mal énervées.\n<voice type=question>\nC'est peut être les poils? Est-ce qu'elles n'auraient pas trop chaud?	<voice type=disappointment>\nНеа. Все еще злые.\n<voice type=question>\nМожет, дело в мехе? Им слишком жарко?
Dialogues/prepAnimalsFed1	<voice type=order>\nThe animals are not hungry anymore, but it's not the end of problems.	<voice type=order>\nЖивотните вече не са гладни, но това не е краят на проблемите.	<voice type=order>\nLes animaux n'ont plus faim mais ce n'est pas la fin des problèmes.	<voice type=order>\nЖивотные поели, но проблемы не закончились.
Dialogues/prepAnimalsFed2	I need to talk it over with Will.	Трябва да поговоря с Уил.	Il faut que j'en parle avec Will.	Нужно поговорить с Уиллом.
