Нов ефект на попадение за Tesla Coil Gun.\nTesla Coil Gun вече има \верижен светкавичен ефект\.\ Електричеството ще се разпространи към близките врагове.\nПодобрено движение на пилетата във фермата. Вече няма да тичат на място близо до оградата.\nПоправени пренаписания на клавиши, които не присъстваха в някои текстове от туториала: Първа битка, Бързо грабване, Бързо напред.\nПоправен колидерът на Тъск.\nПодобрен потребителски интерфейс за приятелство с Ксено.\nПодобрени звуци на кафе машината.\nМалки промени в потребителския интерфейс за подсказки при риболов.\nКогато разглобяваш предмет, който има множество цветови варианти, сега ще получаваш рецепти за всички цветови варианти наведнъж (например чаши или тенджери).\nДобавен нов, по-добър туториал за битката.\nДобавени крави, които се разхождат във фермата.	Нов ефект на попадение за Tesla Coil Gun.\nTesla Coil Gun вече има \верижен светкавичен ефект\.\ Електричеството ще се разпространи към близките врагове.\nПодобрено движение на пилетата във фермата. Вече няма да тичат на място близо до оградата.\nПоправени пренаписания на клавиши, които не присъстваха в някои текстове от туториала: Първа битка, Бързо грабване, Бързо напред.\nПоправен колидерът на Тъск.\nПодобрен потребителски интерфейс за приятелство с Ксено.\nПодобрени звуци на кафе машината.\nМалки промени в потребителския интерфейс за подсказки при риболов.\nКогато разглобяваш предмет, който има множество цветови варианти, сега ще получаваш рецепти за всички цветови варианти наведнъж (например чаши или тенджери).\nДобавен нов, по-добър туториал за битката.\nДобавени крави, които се разхождат във фермата.
Бележки към пача 1.30b бета	Бележки към пача 1.30b бета
- Бъфът на агента вече зависи от нивото, а не от общата подозрителност.\n- Поправено е описанието на бъфа на агента.\n- Добавени са действия по подразбиране за козите - сега можеш да ги стрижеш и доиш с ляв бутон.\n- Поправен е бъг, който позволяваше безплатни ремонти на неща като въжената линия и оградата във фермата след избор на опцията \почисти\ до кокошарника.\n- Добавен е бърз съвет за събиране на яйца.\n- Подобрено е бягането на животните от играча и спирането им при границите на стаята.\n- Препър вече няма да има крака леко под земята, когато ходи от житната нива до езерото.\n- Добавен е съвет за събиране на пшеница в житната нива.\n- Ксено сега ще се появява случайно във фермата.\n- Една кафемашина вече не е подозрителна.\n- Променени са материалите за кухненската качулка и хлебната кутия, за да отразяват по-добре размера на тези предмети.\n- Диалогът \няма нищо за събиране\ вече не фокусира камерата.	- Бъфът на агента вече зависи от нивото, а не от общата подозрителност.\n- Поправено е описанието на бъфа на агента.\n- Добавени са действия по подразбиране за козите - сега можеш да ги стрижеш и доиш с ляв бутон.\n- Поправен е бъг, който позволяваше безплатни ремонти на неща като въжената линия и оградата във фермата след избор на опцията \почисти\ до кокошарника.\n- Добавен е бърз съвет за събиране на яйца.\n- Подобрено е бягането на животните от играча и спирането им при границите на стаята.\n- Препър вече няма да има крака леко под земята, когато ходи от житната нива до езерото.\n- Добавен е съвет за събиране на пшеница в житната нива.\n- Ксено сега ще се появява случайно във фермата.\n- Една кафемашина вече не е подозрителна.\n- Променени са материалите за кухненската качулка и хлебната кутия, за да отразяват по-добре размера на тези предмети.\n- Диалогът \няма нищо за събиране\ вече не фокусира камерата.
Бележки към актуализацията 1.30d бета	Бележки към актуализацията 1.30d бета
Добавихме промени в дневника на главния меню 😉\nБойната система е преработена.\nДвубутонна атака (ляв и десен бутон) или изберете различен стил на атака в настройките, за да отговарят на вашите предпочитания. Можете също така да се върнете към старата бойна система.\nДобавихме три нови оръжия: пушка-помпа, алебарда и мистериозно оръжие от тайнствен чертеж (всички са достъпни в търговията на Джо).\nДобавихме нов тип муниции: патрони за пушка.\nПодобрихме анимациите и ефектите при атака.\nДобавихме критични удари.\nКнигата по бойни изкуства 1 отключва способността да се движите свободно, докато атакувате, а Книгата по бойни изкуства 2 ви дава шанс за критичен удар срещу всеки враг.\nПодобрихме камерата по време на последователни битки, за да елиминираме прекомерното приближаване и отдалечаване при вълни от врагове.\nДобавихме ново обучение за бой.\nПроменихме стандартната клавишна комбинация за смяна на оръжие от Q на F. По подразбиране, Q и E са бутоните за атака.\nТекстовете с информация за клавишите вече показват действителните текущи клавишни комбинации.\nПоправихме замръзванията на местата за поява на врагове и при пътуване в мините.\nПроменихме цвета на бутона за разширяване на стаите, за да е по-забележим.\nАктуализирахме календара с дни от седмицата и възможността да гледате бъдещи и предишни месеци.\nДобавихме два варианта на кухненски шкаф към работната маса ниво 2 (преди това достъпни само в творчески режим).\nКутията за работилница вече е обикновен контейнер, където можете да слагате всичко, което искате и да разглобявате предмети от там.\nМатериалите сега отиват директно в инвентара на играча вместо в кутията на работната маса при разглобяване на предмети.\nПри изработка на предмети за оборудване автоматично ще превключва към таба с оборудването в инвентара.\nПри разглобяване на предмет, който има множество цветови варианти, сега получавате рецептите за всички цветови варианти наведнъж (например чаши или тенджери).\nВсички скъпоценни камъни вече винаги ще се появяват в опциите за продажба на Боб.\nВече няма да се заклещвате по горските пътеки при определени ситуации.\nДобавихме таб \Всичко\ в прозореца за творчески режим.\nПо-добри количества предмети в прозореца за творчески режим.\nПредметите вече няма да изтичат в мрежата за творчески режим.\nМожете да изхвърляте задачи от инвентара, използвайки иконата за кошчето.\nДруги малки подобрения на творческия режим.\nПо време на пауза Препър вече няма да зарежда много диалози едновременно.\nНяколко промени в настройките за съмнение на предмети.\nБъфът на агента сега зависи от нивото, а не от общото съмнение.\nПоправихме бъфа на агента, който нямаше правилно описание.\nНяколко малки промени в рецептите за изработка.\nАктуализирахме кредитите.\nБутонът за кредити е добавен към главния меню.\nПоправихме правописна грешка, която предизвикваше неправилно съобщение при опит на играча да купи нещо от автомат с пълен капацитет.\nДобавихме времето в локациите.\nМеханизмът за изяждане на всичко сега е достъпен в зависимост от количеството хранителни точки или издръжливост, които дава храната (предметите, които дават много точки, няма да имат опция за изяждане на всичко, за да се предотврати загуба на предмети).\nПоправихме визуален бъг, който възникваше при преместване на оборудвани предмети директно в сцената.\nИзображенията в сцената вече няма да покриват диалози (например иконите за електричество).\nПоправихме бъг, който караше ключовете да се включват по подразбиране, но да не работят, докато играчът не ги изключи и включи отново.\nПодобрихме показването на теглото на предметите, за да позволим повече от две цифри.\nПодобрихме смяната на цветовете на диалозите.\nПоправихме системата за бъфове, за да предотвратим ситуации, в които иконите на бъфовете не се показват правилно.\nКогато Препър си ляга, получава бъфа \запази спокойствие\ за да предотврати припадък преди заспиване.\nПоправихме неправилното показване на плана за ракета след завършване на строителството.\nПоправихме функционирането на търговията по време на пауза.\nФенерчето автоматично се изключва по време на разговори с NPC-та.\nВестникът вече няма да пада под земята.\nРазлични малки промени в потребителския интерфейс.\nДруги малки подобрения и корекции	Добавихме промени в дневника на главния меню 😉\nБойната система е преработена.\nДвубутонна атака (ляв и десен бутон) или изберете различен стил на атака в настройките, за да отговарят на вашите предпочитания. Можете също така да се върнете към старата бойна система.\nДобавихме три нови оръжия: пушка-помпа, алебарда и мистериозно оръжие от тайнствен чертеж (всички са достъпни в търговията на Джо).\nДобавихме нов тип муниции: патрони за пушка.\nПодобрихме анимациите и ефектите при атака.\nДобавихме критични удари.\nКнигата по бойни изкуства 1 отключва способността да се движите свободно, докато атакувате, а Книгата по бойни изкуства 2 ви дава шанс за критичен удар срещу всеки враг.\nПодобрихме камерата по време на последователни битки, за да елиминираме прекомерното приближаване и отдалечаване при вълни от врагове.\nДобавихме ново обучение за бой.\nПроменихме стандартната клавишна комбинация за смяна на оръжие от Q на F. По подразбиране, Q и E са бутоните за атака.\nТекстовете с информация за клавишите вече показват действителните текущи клавишни комбинации.\nПоправихме замръзванията на местата за поява на врагове и при пътуване в мините.\nПроменихме цвета на бутона за разширяване на стаите, за да е по-забележим.\nАктуализирахме календара с дни от седмицата и възможността да гледате бъдещи и предишни месеци.\nДобавихме два варианта на кухненски шкаф към работната маса ниво 2 (преди това достъпни само в творчески режим).\nКутията за работилница вече е обикновен контейнер, където можете да слагате всичко, което искате и да разглобявате предмети от там.\nМатериалите сега отиват директно в инвентара на играча вместо в кутията на работната маса при разглобяване на предмети.\nПри изработка на предмети за оборудване автоматично ще превключва към таба с оборудването в инвентара.\nПри разглобяване на предмет, който има множество цветови варианти, сега получавате рецептите за всички цветови варианти наведнъж (например чаши или тенджери).\nВсички скъпоценни камъни вече винаги ще се появяват в опциите за продажба на Боб.\nВече няма да се заклещвате по горските пътеки при определени ситуации.\nДобавихме таб \Всичко\ в прозореца за творчески режим.\nПо-добри количества предмети в прозореца за творчески режим.\nПредметите вече няма да изтичат в мрежата за творчески режим.\nМожете да изхвърляте задачи от инвентара, използвайки иконата за кошчето.\nДруги малки подобрения на творческия режим.\nПо време на пауза Препър вече няма да зарежда много диалози едновременно.\nНяколко промени в настройките за съмнение на предмети.\nБъфът на агента сега зависи от нивото, а не от общото съмнение.\nПоправихме бъфа на агента, който нямаше правилно описание.\nНяколко малки промени в рецептите за изработка.\nАктуализирахме кредитите.\nБутонът за кредити е добавен към главния меню.\nПоправихме правописна грешка, която предизвикваше неправилно съобщение при опит на играча да купи нещо от автомат с пълен капацитет.\nДобавихме времето в локациите.\nМеханизмът за изяждане на всичко сега е достъпен в зависимост от количеството хранителни точки или издръжливост, които дава храната (предметите, които дават много точки, няма да имат опция за изяждане на всичко, за да се предотврати загуба на предмети).\nПоправихме визуален бъг, който възникваше при преместване на оборудвани предмети директно в сцената.\nИзображенията в сцената вече няма да покриват диалози (например иконите за електричество).\nПоправихме бъг, който караше ключовете да се включват по подразбиране, но да не работят, докато играчът не ги изключи и включи отново.\nПодобрихме показването на теглото на предметите, за да позволим повече от две цифри.\nПодобрихме смяната на цветовете на диалозите.\nПоправихме системата за бъфове, за да предотвратим ситуации, в които иконите на бъфовете не се показват правилно.\nКогато Препър си ляга, получава бъфа \запази спокойствие\ за да предотврати припадък преди заспиване.\nПоправихме неправилното показване на плана за ракета след завършване на строителството.\nПоправихме функционирането на търговията по време на пауза.\nФенерчето автоматично се изключва по време на разговори с NPC-та.\nВестникът вече няма да пада под земята.\nРазлични малки промени в потребителския интерфейс.\nДруги малки подобрения и корекции
Бележки към актуализацията 1.30к - Бойна актуализация и пускане на допълнителния пакет "Животновъдна ферма"	Бележки към актуализацията 1.30к - Бойна актуализация и пускане на допълнителния пакет "Животновъдна ферма"
Поправени са бъгове, които можеха да попречат на задачата за хранене на животни да не се актуализира правилно.\nПоправен е грешен ден в календара.\nUI на минииграта лабиринт ще бъде по-видим през нощта.\nПоправено е повтарящото се аудио на макарата за риболов.\nПоправен е бъг, който можеше да остави буфа за приятелство с Xeno след като той избяга.\nНяма повече прекомерно лаене към празна купа.\nXeno ще яде по-малко месо.\nПоправена е грешка, която можеше да попречи на местоположението White Sands Farm да не се отключи.	Поправени са бъгове, които можеха да попречат на задачата за хранене на животни да не се актуализира правилно.\nПоправен е грешен ден в календара.\nUI на минииграта лабиринт ще бъде по-видим през нощта.\nПоправено е повтарящото се аудио на макарата за риболов.\nПоправен е бъг, който можеше да остави буфа за приятелство с Xeno след като той избяга.\nНяма повече прекомерно лаене към празна купа.\nXeno ще яде по-малко месо.\nПоправена е грешка, която можеше да попречи на местоположението White Sands Farm да не се отключи.
Бележки към пача 1.30м	Бележки към пача 1.30м
Подобрихме задачата за черната платнена материя, за да стане по-лесна за изпълнение в определени ситуации.\nДървените трупи вече ще се появяват по-бързо на лесен режим.\nОтстранихме бъг, който пречеше хамстерите да получат някакво засищане от яденето на сено.\nХамстерите вече ще ядат по-малко и ще търсят храна два дни след като са били сити, тъй като съхраняват храна в бузите си.\nОбновленията на стаите от DLC Farm вече могат да бъдат изработвани, а играчите ще получат чертеж след разглобяването им.\nПроменихме шрифта в туториала за риболов, за да поддържа повече езици.\nПодобрихме китайските шрифтове.\nПодобрихме японските шрифтове.	Подобрихме задачата за черната платнена материя, за да стане по-лесна за изпълнение в определени ситуации.\nДървените трупи вече ще се появяват по-бързо на лесен режим.\nОтстранихме бъг, който пречеше хамстерите да получат някакво засищане от яденето на сено.\nХамстерите вече ще ядат по-малко и ще търсят храна два дни след като са били сити, тъй като съхраняват храна в бузите си.\nОбновленията на стаите от DLC Farm вече могат да бъдат изработвани, а играчите ще получат чертеж след разглобяването им.\nПроменихме шрифта в туториала за риболов, за да поддържа повече езици.\nПодобрихме китайските шрифтове.\nПодобрихме японските шрифтове.
Бележки към актуализацията 1.30н	Бележки към актуализацията 1.30н
- Fixed back path intractable after ufo boss fight\n- Fixed boss fight not loading back properly if you win and die at the same time\n- Added Keep Calm buff to Combat Tutorial\n- Fixed barn hole autorepairing \n- Fixed xeno runaway dialogues appearing on start game\n- Fixed highlight button when minigame ended and started again 	- Fixed back path intractable after ufo boss fight\n- Fixed boss fight not loading back properly if you win and die at the same time\n- Added Keep Calm buff to Combat Tutorial\n- Fixed barn hole autorepairing \n- Fixed xeno runaway dialogues appearing on start game\n- Fixed highlight button when minigame ended and started again 
Бележки към пача 1.30о	Бележки към пача 1.30о
Поправено е забиването на риболова в пясъчника.\nДобавена е минииграта за риболов, чиято трудност се мащабира според трудността на играта.\nУвеличен е маржът за грешни дълги събития при кликване в минииграта за риболов.\nДобавени са меса към търговията с ловджийката.\nНякои предложения в супермаркета ще бъдат малко по-евтини.	Поправено е забиването на риболова в пясъчника.\nДобавена е минииграта за риболов, чиято трудност се мащабира според трудността на играта.\nУвеличен е маржът за грешни дълги събития при кликване в минииграта за риболов.\nДобавени са меса към търговията с ловджийката.\nНякои предложения в супермаркета ще бъдат малко по-евтини.
Бележки към пача 1.30п	Бележки към пача 1.30п
Поправени са многократно появяващите се предмети след приключението с кучето.\nДобавена е възможност за възстановяване на свежестта на рибите, когато се поставят в аквариум.\nПоправен е цикълът на смъртта в лабиринта на НЛО и други проблеми, свързани с битката срещу боса.\nРибите ще изтичат след 2 дни, но вече няма да изтичат в аквариумите.\nХраната в купата за кучета ще изтича малко по-бавно.\nПоправена е оставането на зеления цвят при избор на предмет след поставянето му.\nКучето яде яйца.	Поправени са многократно появяващите се предмети след приключението с кучето.\nДобавена е възможност за възстановяване на свежестта на рибите, когато се поставят в аквариум.\nПоправен е цикълът на смъртта в лабиринта на НЛО и други проблеми, свързани с битката срещу боса.\nРибите ще изтичат след 2 дни, но вече няма да изтичат в аквариумите.\nХраната в купата за кучета ще изтича малко по-бавно.\nПоправена е оставането на зеления цвят при избор на предмет след поставянето му.\nКучето яде яйца.
Бележки към актуализацията 1.30р (15.03.2023)	Бележки към актуализацията 1.30р (15.03.2023)
- Fixed \Go fishing\ quest stuck in journal\n- Fixed rare bugs that could occur while switching between save files, such as weather changing every few seconds or being stuck in the UFO maze with a constant \You should go to sleep\ pop-up.\n- Rain should not pass through the bunker anymore.\n- No more loud BANG sound when the rain starts.\n- When starting a new game without the tutorial, you will begin with full stamina and satiation. 	- Fixed \Go fishing\ quest stuck in journal\n- Fixed rare bugs that could occur while switching between save files, such as weather changing every few seconds or being stuck in the UFO maze with a constant \You should go to sleep\ pop-up.\n- Rain should not pass through the bunker anymore.\n- No more loud BANG sound when the rain starts.\n- When starting a new game without the tutorial, you will begin with full stamina and satiation. 
Бележки към пача 1.30s (16.03.2023)	Бележки към пача 1.30s (16.03.2023)
Работната маса вече ще има подходящи сблъсъци за разположението си на всеки етаж (така че сега можеш да поставяш светлини над работните маси на по-ниските етажи).\nДобавено е предупреждение при отключване на усъвършенстваната бойна система при четене на книгата \Обезкуражаване и отмъщение\.\nДобавена е опция в настройките за игра, която позволява да се спре атаката (само след като си прочел \Обезкуражаване и отмъщение\).\nПшеницата може да се изсуши в сушилня и да се превърне в брашно.\nПоправено е оставането на червен избор след поставяне на предмет.	Работната маса вече ще има подходящи сблъсъци за разположението си на всеки етаж (така че сега можеш да поставяш светлини над работните маси на по-ниските етажи).\nДобавено е предупреждение при отключване на усъвършенстваната бойна система при четене на книгата \Обезкуражаване и отмъщение\.\nДобавена е опция в настройките за игра, която позволява да се спре атаката (само след като си прочел \Обезкуражаване и отмъщение\).\nПшеницата може да се изсуши в сушилня и да се превърне в брашно.\nПоправено е оставането на червен избор след поставяне на предмет.
Бележки към актуализацията 1.30т (17.03.2023)	Бележки към актуализацията 1.30т (17.03.2023)
Поправено скриване/показване на кучешката бърлога\nАктуализирано поведение на спящото куче (сега, когато агентът пристигне, Xeno не може да спи)\nПоправен рядък случай на задачата "Доене на коза", която не се актуализира правилно\nПоправени корейски шрифтове\nDLC преведено на нови езици: френски, японски, италиански, испански	Поправено скриване/показване на кучешката бърлога\nАктуализирано поведение на спящото куче (сега, когато агентът пристигне, Xeno не може да спи)\nПоправен рядък случай на задачата "Доене на коза", която не се актуализира правилно\nПоправени корейски шрифтове\nDLC преведено на нови езици: френски, японски, италиански, испански
Бележки към актуализацията 1.30u (23.03.2023)	Бележки към актуализацията 1.30u (23.03.2023)
