# key	english
Items/MiningTrolley	Mining Trolley
Items/DesKeyMiningTrolley	Used to store items from the Mining Machine
Items/Amo	Ammo
Items/AnimalPart1	Feathers
Items/AnimalPart2	Tusk
Items/AnimalPart3	Racoon Tail
Items/AnimalPart4	Fox Tail
Items/AnimalPart5	Antlers
Items/BasicBait	Basic Bait
Items/BigGameBait	Big Game Bait
Items/BlueberryJam	Blueberry Jam
Items/Cactus	Cactus
Items/CactusJam	Cactus Jam
Items/Cake	Pie
Items/CannedSoup	Canned Soup
Items/CannedStaw	Canned Stew
Items/CarrotJam	Carrot Jam
Items/Chicken	Chicken
Items/ChineseSoup	Instant Ramen
Items/CookBook1	Cook Book I
Items/CookBook2	Cook Book II
Items/CookBook3	Cook Book III
Items/Cucumber	Cucumber
Items/CucumberSoup	Cucumber Soup
Items/DearMeat	Haunch of meat
Items/DesKeyBlueberryJam	Blueberry jam, just like from grandma. It will satisfy your hunger and provide you with energy at the same time.
Items/DesKeyCactus	Prickly but tasty - if done properly.
Items/DesKeyCactusJam	A delicious jam made of cactuses. Or is it cacti? It will satisfy your hunger and provide you with energy at the same time.
Items/DesKeyCake	Maybe you'd be happy for a while. It will satisfy your hunger and provide you with energy at the same time.
Items/DesKeyCannedSoup	A can so beautiful you want to paint it. And the soup will last longer in it.
Items/DesKeyCannedStaw	The stew will last longer in a can.
Items/DesKeyCarrotJam	Give carrot jam a chance, it's not only baby food. It will satisfy your hunger and provide you with energy at the same time.
Items/DesKeyChicken	Tastes like chicken!
Items/DesKeyChineseSoup	An international classic. It can last long and is very filling.
Items/DesKeyCucumber	A cucumber. Don't underestimate it.
Items/DesKeyCucumberSoup	Cucumber soup. Try it and you'll never go back.
Items/DesKeyDearMeat	Would you eat Bambi if he was seasoned really well?
Items/DesKeyDriedApple	Keeps the doctor away even after season. Dried food lasts longer.
Items/DesKeyDriedBerries	Dried berries from the local forest. Dried food lasts longer.
Items/DesKeyDriedMeat	Dried meat. Dried food lasts longer.
Items/DesKeyDriedOrange	Dried orange, not only for winter holidays. Dried food lasts longer.
Items/DesKeyDriedTomatos	Dried tomatoes, an Italian classic. Dried food lasts longer.
Items/DesKeyEgg	A symbol of life. Nutritional value is off the charts!
Items/DesKeyEggInSalt	A classic preppers' food. It can last a long time.
Items/DesKeyEnergyBar	Condensed energy in a bar. A temporary sleep replacement.
Items/DesKeyFarmingWallLamp	Provides better light for growing plants underground.
Items/DesKeyFlour	An essential cooking ingredient.
Items/DesKeyFurnace	Can be used for melting certain materials. Put some stone or iron ore into it and see what happens.
Items/DesKeyGondola	It has probably dropped from the ropeway. Maybe there's still something interesting inside?
Items/DesKeyKimchi	Korean fermented cabbage. A touch of Orient in your shelter.
Items/DesKeyMarinatedCorn	Marinated corn. A snack that can also serve as a proper meal.
Items/DesKeyMarinatedMushroom	Magic from the forest put in a jar. Enjoy all year long.
Items/DesKeyMeatPie	Emulate the atmosphere of an English pub in your shelter. A hearty meal.
Items/DesKeyMeatStew	A hearty meat stew. Heavy, but very high caloric.
Items/DesKeyMushroom	You're sure it's an edible kind of mushroom, are you?
Items/DesKeyMushroomSoup	A mushroom soup. Sour with a hint of damp basement.
Items/DesKeyNopales	A meal made of cactuses. Cacti. Anyway: delicious.
Items/DesKeyOil	Put it in a refinery to convert it into fuel.
Items/DesKeyOmelette	They say you can't unscramble it, so why not eat it?
Items/DesKeyOrangeJam	Orange jam, reminding you of all the tropical travels you never had. It will satisfy your hunger and provide you with energy at the same time.
Items/DesKeyPasta	Delicious. Don't forget to kiss your fingers before serving.
Items/DesKeyPate	A simple but tasty pate.
Items/DesKeyPemmican	A highly nutritious meal made of dried meat and berries. Invented by Native Americans, loved also by preppers.
Items/DesKeyPickaxe	May be useful for opening some blocked pathways in the mines.
Items/DesKeyPickles	Can't go wrong with pickles, right?
Items/DesKeyRainWaterCollector	It's a bucket. Place it outside during rain to collect extra water.
Items/DesKeyRaport	A report from the Agent. Hope it's positive.
Items/DesKeyRatMeat	Not exactly a delicacy, but it doesn't deserve the bad reputation.
Items/DesKeyRoastedRat	Quite good. Goes well with white wine and sour sides.
Items/DesKeyRoastedTurkey	A big bird, supposedly perfect for celebrating colonization.
Items/DesKeyRoomSoil	Quality soil for growing plants in your bunker.
Items/DesKeyRoomUpgradeFactory	Crafting things is faster thanks to this upgrade.
Items/DesKeyRoomUpgradeFreezer	This upgrade will make the room perfect for storing food.
Items/DesKeyRoomUpgradeGreenHouse	With this room upgrade, your plants will grow faster. Place it in a room upgrade box.
Items/DesKeyRoomUpgradePowerhouse	With this upgrade, the generator will work better in this room.
Items/DesKeyRoomUpgradePumphouse	Installs an extended water supply in a room. Can be used for collecting water more effectively (with buckets or Waterloo).
Items/DesKeySeed Sunflower	Put into a planter to grow sunflowers.
Items/DesKeySimpleTrap	A simple trap for catching some innocent critters.
Items/DesKeySnakeMeat	Someone not only treaded on this one, but also chopped it to pieces.
Items/DesKeyRoastedSnakeMeat	Someone not only treaded on this one, but also ROASTED it! [MUST-EAT] 
Items/DesKeySnakeStew	It's not venomous anymore, but it doesn't mean it's easy on the stomach.
Items/DesKeySpaghetii	Pasta with sauce. Essential for long isolation, be sure to stack up properly.
Items/DesKeySpices	These make your life in the shelter a bit more diverse.
Items/DesKeySteamGenerator	Great source of electricity. Uses wood as fuel.
Items/DesKeySugar	To sweeten your life full of hardship.
Items/DesKeySunflower	Delicious, but not very nourishing. Maybe it could sell well?
Items/DesKeyTomatoSoup	Something makes you want to put it in a can and paint it.
Items/DesKeyVegetableSoup	A classic. Not exciting, but hearty.
Items/DesKeyWildMeat	Free-range meat. Don't eat it raw.
Items/DriedApple	Dried Apple
Items/DriedBerries	Dried Berries
Items/DriedMeat	Dried Meat
Items/DriedOrange	Dried Orange
Items/DriedTomatos	Dried Tomatoes
Items/Dryier	Dryer
Items/Egg	Egg
Items/EggInSalt	Eggs In Salt
Items/EnergyBar	Energy Bar
Items/ExoticBait	Exotic Bait
Items/FarmingWallLamp	Farming Wall Lamp
Items/FastBait	Fast Bait
Items/Flour	Flour
Items/Furnace	Furnace
Items/Gondola	Gondola
Items/Gondola2	Gondola
Items/Kimchi	Kimchi
Items/MarinatedCorn	Marinated Corn
Items/MarinatedMushroom	Marinated Mushroom
Items/Meat1	Meat1
Items/Meat2	Meat2
Items/Meat3	Meat3
Items/Meat4	Meat4
Items/Meat5	Meat5
Items/MeatPie	Meat Pie
Items/MeatStew	Meat Stew
Items/MiningPassOne	Mining Pass -2
Items/Mushroom	Mushroom
Items/MushroomSoup	Mushroom Soup
Items/Nopales	Nopales
Items/Oil	Oil
Items/Omelette	Omelette
Items/OrangeJam	Orange Jam
Items/Pasta	Pasta
Items/Pate	Pate
Items/Pemmican	Pemmican
Items/Pickaxe	Pickaxe
Items/Pickles	Pickles
Items/RainWaterCollector	Bucket
Items/Raport	Agent's Report
Items/RatMeat	Rat Meat
Items/RoastedRat	Roasted Rat
Items/RoastedTurkey	Roasted Chicken
Items/RoastedTurkey2	Roasted Chicken
Items/RoomSoil	Soil patch
Items/RoomUpgradeFactory	Room Upgrade - Factory
Items/RoomUpgradeFreezer	Room Upgrade - Freezer
Items/RoomUpgradeGreenHouse	Room Upgrade - Greenhouse
Items/RoomUpgradePowerhouse	Room Upgrade - Powerhouse
Items/RoomUpgradePumphouse	Room Upgrade - Pumphouse
Items/Seed Cucumber	Cucumber Seed
Items/Seed Sunflower	Sunflower Seed 
Items/SimpleTrap	Simple Trap
Items/SnakeMeat	Snake Meat
Items/RoastedSnakeMeat	Roasted Snake Meat
Items/SnakeStew	Snake Stew
Items/Spaghetii	Spaghetti
Items/Spices	Spices
Items/SteamGenerator	Steam Generator
Items/Sugar	Sugar
Items/Sunflower	Sunflower
Items/TomatoSoup	Tomato Soup
Items/VegetableSoup	Vegetable Soup
Items/WildMeat	Slice of meat
Items/Amethyst	Amethyst
Items/ArtOfNegotiationBook1	Art of Negotiation
Items/ArtOfNegotiationBook2	Art of Negotiation II
Items/BlessPresident	Bless the President
Items/Bob	Bob
Items/BobBook	Book about nuclear warfare
Items/BobJacket	Bob's Jacket
Items/BobGlasses	Bob's Glasses
Items/BuilderBook	Builder Book
Items/Canvas1	Painting
Items/DesKeyAmethyst	Can be sold for a good price.
Items/DesKeyAnimalPart1	A bird's feather. 
Items/DesKeyAnimalPart2	An impressive tusk. Do we have marine mammals here?
Items/DesKeyAnimalPart3	A racoon tail. For those craving The Junior Woodchuck style.
Items/DesKeyAnimalPart4	A fox tail. Could fetch a good price.
Items/DesKeyAnimalPart5	Antlers, a universally loved pretentious decoration.
Items/DesKeyArtOfNegotiationBook1	Discover your inner haggler and learn how to negotiate better prices.
Items/DesKeyArtOfNegotiationBook2	Master the art of negotiation and achieve even better prices.
Items/DesKeyBasicBait	Basic bait for traps.
Items/DesKeyBigGameBait	Works slower, but allows for catching something bigger.
Items/DesKeyBlessPresident	Caricature of the President
Items/DesKeyBobJacket	Bob's beloved jacket. A bit dirty. Not clear what the fuss is all about.
Items/DesKeyBobBook	Fallout Protection: What To Know And Do About Nuclear Attack. An informative booklet from one of the pre-Plague governments.
Items/DesKeyBobGlasses	Stylish corrective glasses. Deemed to look good on every Bob regardless of their species.
Items/DesKeyBuilderBook	Extreme Shelter Makeover! Learn how to build rooms faster.
Items/DesKeyCanvas1	Just that you don't have many guests doesn't mean you shouldn't have some quality decoration.
Items/DesKeyCookBook1	Cooking for One: A simple cuisine for when you don't have to care about anyone else's taste. Teaches you some new cooking recipes.
Items/DesKeyCookBook2	Nuclear Fusion Cuisine: Ideas to spice up your shelter life! Teaches you some new cooking recipes.
Items/DesKeyCookBook3	Eating from the Trash Can All the Time: Best dishes from leftovers. Teaches you some new cooking recipes.
Items/DesKeyDiamond	Coal that's been through a lot of pressure. A rare and valuable gem.
Items/DesKeyDoItYourselfBook1	Handyperson's Handbook. Learn to craft faster.
Items/DesKeyDoItYourselfBook2	Handyperson's Handbook, Vol. II. Learn to craft even faster.
Items/DesKeyDriedGuarana	Dried guarana. Energy with a longer expiration date.
Items/DesKeyEmerald	No need for green-tinted glasses here. Can be sold for a good price.
Items/DesKeyEnergyDrink	Delays the need for sleep. Just don't rely on it as your main source of nutrition.
Items/DesKeyEpicBait	A bait that might let you catch very rare creatures.
Items/DesKeyExoticBait	A bait for rarer animals.
Items/DesKeyFastBait	Fast bait for fast effects.
Items/DesKeyGaiger	Not great, not terrible. A bit rusty, but should show levels of radiation properly.
Items/DesKeyGardeningBook1	Hortus Conclusus: Learn how to grow plants faster.
Items/DesKeyGardeningBook2	The Secret Gardening: Learn how to grow plants even faster.
Items/DesKeyGold	It does glitter and can be sold for good price.
Items/DesKeyGuarana	A climbing plant and a stimulant rich in caffeine.
Items/DesKeyGuaranaWild	A wild guarana plant appears. It's super effective! (Due to its high caffeine concentration.)
Items/DesKeyHealthyEatingBook	Eat, Nuke, Love: Healthy kitchen for the citizen of the world. Learn to make the most of your food.
Items/DesKeyIronOre	Melt it in a furnace to get some metal.
Items/DesKeyKnife	A basic tool of every prepper.
Items/DesKeyLogs block	The logs are blocking your way!
Items/DesKeyLucille	An upgraded baseball bat. Could probably take on zombies. (Hope we haven't those around...?)
Items/DesKeyMachet	DesKeyMachet
Items/DesKeyMartialArtsBook1	Deterrence and Retaliation: Learn how to be more effective in combat. It will let you move and attack simultaneously.
Items/DesKeyMartialArtsBook2	Assured Destruction: Learn how to be even more effective in combat. It will unlock critical hits.
Items/DesKeyMiningPassFour	Pass card to level -5 in the mine.
Items/DesKeyMiningPassOne	Pass card to level -2 in the mine.
Items/DesKeyMiningPassThree	Pass card to level -4 in the mine.
Items/DesKeyMiningPassTwo	Pass card to level -3 in the mine.
Items/DesKeyMiningPassZero	Pass card to level -1 in the mine.
Items/DesKeyMiningPassFive	Pass card to the mysterious, variable lowest level of the mine.
Items/DesKeyMinutManLetter1	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter2	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter3	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter4	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter5	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter6	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter7	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyMinutManLetter8	A letter from a stranger who calls himself "The Minuteman".
Items/DesKeyNoSleepBook	Sleeper Agent: Learn how to sleep and nap more efficiently.
Items/DesKeyPetrolheadBook	Hit the Fury Road: Learn how to use fuel more efficiently.
Items/DesKeyPhoto	A photo from the plane wreck. Depicts a pilot in an airplane. Wait, is it... Mr. Prepper?
Items/DesKeyPill	This drug will keep you awake through the night.
Items/DesKeyPipe	DesKeyPipe
Items/DesKeyPlanObject	Your precious ULTIMATE PLAN. It will help you escape.
Items/DesKeyPostMan	
Items/DesKeyPreppersGuideBook	The Preppy Guide to Prepping: Learn how to be more Prepared.
Items/DesKeyRocketPhoto	A picture of a magnificent rocket. Very inspiring.
Items/DesKeyRoomUpgradeProto	
Items/DesKeyRottenFood	Oops... it's spoiled. Keeping food in a fridge makes it last longer.
Items/DesKeyRuby	A gemstone red-tinted thanks to chromium. Can be sold for good price.
Items/DesKeySeed Cucumber	Put them into a planter to grow cucumber.
Items/DesKeySeed Guarana	Put them into a planter to grow guarana.
Items/DesKeyShroomsWild	Wild mushrooms. Come back where you found them sometime, they may regrow from the mycelium.
Items/DesKeySladgeHammer	
Items/DesKeySpear	DesKeySpear
Items/DesKeyStrengthTrainingBook1	Atlas Jacked: Learn how to carry more weight.
Items/DesKeyStrengthTrainingBook2	Atlas More Jacked: Learn how to carry even more weight.
Items/DesKeyStuff	DesKeyStuff
Items/DesKeySupremeBait	A bait that's both fast and effective.
Items/DesKeySuspiciousBush	DesKeySuspiciousBush
Items/DesKeyTestW2	DesKeyTestW2
Items/DesKeyTomahawk	DesKeyTomahawk
Items/DesKeyWalrusBook	Project Iceworm: Learn how to deal with very low temperatures
Items/DesKeybasePref	
Items/DesKeyherbFirstLetter	A letter in a beautiful, flowery handwriting.
Items/Diamond	Diamond
Items/DoItYourselfBook1	Handyperson's Handbook
Items/DoItYourselfBook2	Handyperson's Handbook II
Items/DriedGuarana	Dried Guarana
Items/Emerald	Emerald
Items/EnergyDrink	Energy Drink
Items/EpicBait	Epic Bait
Items/Gaiger	Geiger Counter
Items/GardeningBook1	Hortus Conclusus
Items/GardeningBook2	The Secret Gardener (Gardening II)
Items/Gold	Gold
Items/Guarana	Guarana
Items/GuaranaWild	Wild Guarana
Items/HealthyEatingBook	Eat, Nuke, Love: Healthy kitchen
Items/IronOre	Iron Ore
Items/Knife	Knife
Items/KolejkaLesna	KolejkaLesna
Items/Logs block	Logs block
Items/LootBoxMine	Wooden mine box
Items/LootBoxMine2	Wooden mine box
Items/LootBoxMineUranium	Wooden mine box
Items/Lucille	Lucille
Items/Machet	Machet
Items/MartialArtsBook1	Deterrence and Retaliation
Items/MartialArtsBook2	Assured Destruction
Items/MiningPassFive	Mining Pass - Mysterious level
Items/MiningPassFour	Mining Pass -5
Items/MiningPassThree	Mining Pass -4
Items/MiningPassTwo	Mining Pass -3
Items/MiningPassZero	Mining Pass -1
Items/MiningRock	Big Rock
Items/MinutManLetter1	Minuteman's Letter
Items/MinutManLetter2	Minuteman's Letter
Items/MinutManLetter3	Minuteman's Letter
Items/MinutManLetter4	Minuteman's Letter
Items/MinutManLetter5	Minuteman's Letter
Items/MinutManLetter6	Minuteman's Letter
Items/MinutManLetter7	Minuteman's Letter
Items/MinutManLetter8	Minuteman's Letter
Items/NoSleepBook	Sleeper Agent
Items/PetrolheadBook	Hit the Fury Road
Items/Photo	Photo
Items/PickRock	Rock
Items/Pill	Pill
Items/Pipe	Pipe
Items/PlanObject	Escape Plan
Items/PostMan	Postman
Items/PreppersGuideBook	The Preppy Guide to Prepping
Items/RocketPhoto	Rocket Photo
Items/RoomUpgradeProto	RoomUpgradeProto
Items/RottenFood	Rotten Food
Items/Ruby	Ruby
Items/Seed Guarana	Guarana Seed
Items/ShroomsWild	Wild Mushrooms
Items/SladgeHammer	Sledgehammer
Items/Spear	Spear
Items/StrengthTrainingBook1	Atlas Jacked
Items/StrengthTrainingBook2	Atlas More Jacked
Items/Stuff	Stuff
Items/SupremeBait	Supreme Bait
Items/SuspiciousBush	Suspicious Bush
Items/TestW2	TestW2
Items/Tomahawk	Tomahawk
Items/WalrusBook	Project Iceworm
Items/basePref	basePref
Items/des kfu guliga holi gaba raba rada wada wosumano i oli kabo do salinano uso do	des kfu guliga holi gaba raba rada wada wosumano i oli kabo do salinano uso do
Items/herbFirstLetter	Letter
Items/HerbPill	Letter
Items/RoastedDeerMeat	Roasted haunch of meat
Items/DesRoastedDeerMeat	Okay, now I know I'm not above eating Bambi.
Items/RoastedBoarMeat	Steak
Items/DesRoastedBoarMeat	Well roasted, Obelix would be proud.
Items/herbBed	Jenny's Bed
Items/herbBedDes	But grandmother! What small cabin do you have, said Little Prepp Riding Hood.
Items/herbDeerTrophy	Jenny's Deer Trophy
Items/herbDeerTrophyDes	A hunter's trophy? Perhaps there is more to the Herbalist than meets the eye.\nAnd what's the deal with these antlers?
Items/herbGrowingBox	Jenny's Growing Box
Items/herbGrowingBoxDes	A growing box. Somehow I have a feeling these are not only decorative plants.
Items/herbTV	Jenny's TV
Items/herbTVDes	There's nothing worthwhile on TV since the Plague, only news about successes of government, outdated educational programs, and old westerns.
Items/herbWeedHook	Weed hook
Items/herbWeedHookDes	This is probably a weeding tool. But it could definitely kill you.
Items/herbDaisyGrubber	Daisy Grubber
Items/herbDaisyGrubberDes	A gardening tool or a torture device? I don't trust the cute daisy painted on it. 
Items/Calendar	Calendar
Items/CalendarDes	Helps to keep track of important events
Items/Foil	Foil
Items/DesFoil	Best protection from mind-controlling waves.
Items/RadioReciver	Joe's Radio
Items/DesRadioReciver	This is surely an old device, but it looks like it could pick up transmissions from afar.
Items/RoomUpgradeBook1	Underground Gardening
Items/DesRoomUpgradeBook1	Is this book about gardening below the ground level or about hiding from the authorities? Yes.
Items/BrokenRevolwer	Broken Revolver
Items/DesBrokenRevolwer	It's broken.
Items/Path	Path
Items/SignTraps	Traps Sign
Items/HunterNote	Huntress's note
Items/Bunk	Bunk
Items/DescBunk	An austere bed. Sleep is obviously not the priority here.
Items/FortObserverMonitor	Monitor
Items/FortObserverMonitorStorage	Monitor
Items/DescFortObserverMonitor	One of the monitors of the Fort Observer base. Who observes the observers?
Items/FortObserverPass	Access card
Items/DescFortObserverPass	An access card to somewhere. Found in the plane wreckage.
Items/AICore	AI core
Items/DescAICore	The core of Fort Observer's security AI.
Items/AICoreCase	AI core case
Items/DescAICoreCase	A casing of security AI core. Maybe something could be put inside?
Items/FakeAICore	Fake AI core
Items/DescFakeAICore	A fake AI core with a custom inside
Items/RocketPartCore	Rocket control module
Items/DescRocketPartCore	An AI-based rocket control module. Crucial for your escape plan.
Items/Bigos	Bigos
Items/DesKeyBigos	A hearty, aromatic cabbage and meat stew. A recipe from Grandma Marianna.
Items/BlueberrySmoothie	Blueberry smoothie
Items/DesKeyBlueberrySmoothie	Condensed taste of the forest. You can't go wrong with this one.
Items/CarrotSoup	Carrot soup
Items/DesKeyCarrotSoup	Loved by babies and preppers worldwide.
Items/BeetSoup	Beet soup
Items/DesKeyBeetSoup	A delicious sour beet soup.
Items/bobPlant	Bob the Plant
Items/KitchenCupboard	Kitchen Cupboard
Items/Food	Food
Items/BookSet	Book Set
Items/Barrel	Barrel
Items/WorkshopShelf	Workshop Shelf
Items/Material	Material
Items/Keycard	Keycard
Items/Gem	Gem
Items/BoxSmall	Small Box
Items/BoxLarge	Large Box
Items/Plant	Plant
Items/Ammo	Ammo
Items/Chest	Chest
Items/Scraps	Scraps
Items/Seed	Seed
Items/Bait	Bait
Items/Plate	Plate
Items/Trap	Trap
Items/Trophy	Trophy
Items/MinutemanLetter	Minuteman's letter
Items/Cup	Cup
Items/ChickenLeg	Chicken leg
Items/DesKeyChickenLeg	Very tasty, and you can throw a bone to a local dog. If you see one.
Items/MinesElevatorController	Elevator Controller
Items/MinesElevator	Elevator
Items/PlaneFortObserver	Airplane
Items/DesPlaneFortObserver	These fighter aircrafts are a bit outdated, but still fit for basic surveillance and control tasks. 
Items/AntenaForObserver	Antenna
Items/DesAntenaForObserver	Allows for picking up radio transmissions from great distances.
Items/ArtificialHorizon	Artificial Horizon
Items/DesArtificialHorizon	An advanced gyroscopic flight instrument. An essential component for building a rocket.
Items/DesKeyDryier	Useful for drying certain fruits and vegetables.
Items/Granade	Grenade
Items/DesKeyGranade	A basic grenade. Deals some damage and stuns enemies. You can also disassemble it to get its recipe.
Items/SmokeBomb	Smoke Bomb
Items/DesKeySmokeBomb	Great for getting out of tough situations. Stuns and pushes back enemies around you. You can also disassemble it to get its a recipe.
Items/Dynamit	Dynamite
Items/DesKeyDynamit	Causes a powerful explosion that deals a lot of damage. You can also disassemble it to get its recipe.
Items/ComicsSet	A collection of comics
Items/DesComicsSet	A remarkable collection of comics, from pulp superhero stuff to some whacky zines.
